INLINE gCharacterDataFE10_Bosses,Name,Description,ID,Support Class,Portrait,Map Portrait,Affinity,Unit Sort Order,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,N/A,N/A,N/A,N/A,N/A,CharClassAbility,Support Data Ptr,N/A (Conversation Group),N/A,N/A,N/A
Danomill,DanomillName,DanomillDesc,0x0B,General,DanomillMug,0x00,FireAffinity,0x05,3,19,9,7,7,4,5,4,0,BRank,0x00,0x00,0x00,0x00,0x00,0x00,0x00,75,45,45,30,55,45,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aed5c,0x0,0x0,0x0,0x0
Mackoya,MackoyaName,MackoyaDesc,0x0C,Ranger,MackoyaMug,0x00,WindAffinity,0x12,5,12,6,10,6,6,9,5,0,BRank,0x00,0x00,DRank,0x00,0x00,0x00,0x00,65,45,35,45,45,40,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aeccc,0x7,0x0,0x0,0x0
Seeker,SeekerName,SeekerDesc,0x0D,RavenClass,SeekerMug,0x00,ThunderAffinity,0x20,8,12,7,6,5,3,3,11,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,110,55,60,80,35,35,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aece4,0xa,0x0,0x0,0x0
Norris,NorrisName,NorrisDesc,0x0E,Sniper,NorrisMug,0x00,WaterAffinity,0x11,5,12,7,10,9,7,3,4,0,0x00,0x00,0x00,BRank,0x00,0x00,0x00,0x00,60,45,55,45,35,35,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aee1c,0x0,0x0,0x0,0x0
Gashilama,GashilamaName,GashilamaDesc,0x0F,Berserker,GashilamaMug,0x00,FireAffinity,0x08,4,11,8,5,7,5,5,7,0,0x00,0x00,BRank,0x00,0x00,0x00,0x00,0x00,80,60,25,40,35,15,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aebc4,0x3,0x0,0x0,0x0
Kimaarsi,KimaarsiName,KimaarsiDesc,0x10,General,KimaarsiMug,0x00,LightAffinity,0x35,6,15,7,8,9,6,7,9,0,CRank,ARank,0x00,0x00,0x00,0x00,0x00,0x00,75,45,45,30,55,45,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aed2c,0x3,0x0,0x0,0x0
Kayachey,KayacheyName,KayacheyDesc,0x11,Sage,KayacheyMug,0x00,EarthAffinity,0x0D,8,12,14,11,9,6,10,17,0,0x00,0x00,0x00,0x00,CRank,CRank+36,0x00,0x00,55,55,45,45,35,50,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aed14,0x3,0x0,0x0,0x0
Homasa,HomasaName,HomasaDesc,0x12,Swordmaster,HomasaMug,0x00,LightAffinity,0x36,11,16,8,9,13,6,10,12,0,ARank,0x00,0x00,0x00,0x00,0x00,0x00,0x00,65,45,65,65,25,20,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aee34,0x7,0x0,0x0,0x0
Shiharam,ShiharamName,ShiharamDesc,0x13,WyvernLord,ShiharamMug,0x00,FireAffinity,0x1C,10,20,12,11,9,11,12,1,0,0x00,BRank,ARank,0x00,0x00,0x00,0x00,0x00,80,50,40,35,50,35,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aecb4,0x0,0x0,0x0,0x0
Kasatai,KasataiName,KasataiDesc,0x14,General,KasataiMug,0x00,FireAffinity,0x10,9,13,7,11,13,4,13,13,0,0x00,ARank,0x00,0x00,0x00,0x00,0x00,0x00,75,45,45,30,55,45,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aed74,0x4,0x0,0x0,0x0
Schaeffer,SchaefferName,SchaefferDesc,0x15,Warrior,SchaefferMug,0x00,FireAffinity,0x09,12,21,14,11,14,14,7,8,0,0x00,0x00,ARank,CRank,0x00,0x00,0x00,0x00,85,60,35,50,35,25,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aed8c,0x7,0x0,0x0,0x0
Tomenami,TomenamiName,TomenamiDesc,0x16,Bishop,TomenamiMug,0x00,NoAffinity,0x1A,1,5,6,3,6,2,7,6,0,0x00,0x00,0x00,0x00,CRank,0x00,CRank,0x00,50,55,30,40,15,55,50,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aeda4,0xc,0x0,0x0,0x0
Petrine,PetrineName,PetrineDesc,0x17,Paladin_F,PetrineMug,0x00,ThunderAffinity,0x2D,18,18,13,16,16,14,15,10,1,0x00,SRank,ARank,0x00,0x00,0x00,0x00,0x00,40,40,40,45,30,15,60,0x0,0x0,0x0,0x0,0x0,IsFemale|IsBoss,0x88aedbc,0x6,0x0,0x0,0x0
Rikard,RikardName,RikardDesc,0x18,Paladin,RikardMug,0x00,WindAffinity,0x03,15,25,11,13,11,11,13,7,0,ARank,1,BRank,0x00,0x00,0x00,0x00,0x00,65,45,35,45,45,40,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aedd4,0x5,0x0,0x0,0x0
Gromell,GromellName,GromellDesc,0x19,WyvernLord,GromellMug,0x00,ThunderAffinity,0x04,14,22,10,10,6,10,11,13,0,0x00,0x00,ARank,0x00,0x00,0x00,0x00,0x00,80,50,40,35,50,35,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aedec,0xb,0x0,0x0,0x0
Bertram,BertramName,BertramDesc,0x1A,Paladin,BertramMug,0x00,EarthAffinity,0x29,19,25,15,21,13,15,16,8,0,SRank,ARank,0x00,0x00,0x00,0x00,0x00,0x00,60,65,50,50,65,45,10,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aee04,0x4,0x0,0x0,0x0
Hafedd,HafeddName,HafeddDesc,0x1B,Halberdier,HafeddMug,0x00,FireAffinity,0x2C,17,22,14,20,14,16,16,19,0,0x00,ARank,0x00,0x00,0x00,0x00,0x00,0x00,75,45,45,70,45,40,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Heddwyn,HeddwynName,HeddwynDesc,0x1C,Sage,HeddwynMug,0x00,FireAffinity,0x02,18,20,14,13,13,8,18,15,0,0x00,0x00,0x00,0x00,BRank,ARank+3,0x00,0x00,55,55,45,45,35,50,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aee4c,0x0,0x0,0x0,0x0
Bryce,BryceName,BryceDesc,0x1D,General,BryceMug,0x00,EarthAffinity,0x17,20,27,15,19,16,15,13,17,0,ARank,SRank,0x00,0x00,0x00,0x00,0x00,0x00,75,45,45,30,55,45,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aee64,0x4,0x0,0x0,0x0
Ashnard,AshnardName,AshnardDesc,0x1E,WyvernLord,AshnardMug,0x00,FireAffinity,0x0A,20,35,26,20,22,26,25,0,0,SRank,0x00,ARank,0x00,0x00,0x00,0x00,0x00,70,40,45,55,40,15,40,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aee7c,0xc,0x0,0x0,0x0
Pugo,PugoName,PugoDesc,0x1F,Fighter,PugoMug,0x00,ThunderAffinity,0x0B,3,5,-3,2,2,3,1,8,1,0x00,0x00,CRank,0x00,0x00,0x00,0x00,0x00,80,50,60,45,40,30,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aee94,0x3,0x0,0x0,0x0
Isaiya,IsaiyaName,IsaiyaDesc,0x20,Myrmidon,IsaiyaMug,0x00,WindAffinity,0x25,7,7,1,4,3,2,3,6,1,CRank,0x00,0x00,0x00,0x00,0x00,0x00,0x00,65,40,45,50,40,40,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aecfc,0x3,0x0,0x0,0x0
Zaitan,ZaitanName,ZaitanDesc,0x21,Knight,ZaitanMug,0x00,WindAffinity,0x0E,8,8,4,7,4,3,1,7,1,0x00,BRank,0x00,0x00,0x00,0x00,0x00,0x00,85,55,50,55,40,20,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aeeac,0xa,0x0,0x0,0x0
Burton,BurtonName,BurtonDesc,0x22,SwordKnight,BurtonMug,0x00,LightAffinity,0x18,11,10,7,7,5,4,5,4,1,DRank,1,0x00,0x00,0x00,0x00,0x00,0x00,70,45,40,45,40,40,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aed44,0xa,0x0,0x0,0x0
Pain,PainName,PainDesc,0x23,Tiger,PainMug,0x00,HeavenAffinity,0x2F,6,8,3,2,1,3,0,5,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,100,45,30,25,40,15,50,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Agony,AgonyName,AgonyDesc,0x24,Tiger,AgonyMug,0x00,EarthAffinity,0x32,8,9,2,3,2,2,3,3,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,100,45,30,25,40,15,50,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Wystan,WystanName,WystanDesc,0x25,Mage,WystanMug,0x00,WaterAffinity,0x26,14,8,10,5,5,2,7,8,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,50,65,40,40,25,55,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Laverton,LavertonName,LavertonDesc,0x26,LanceKnight,LavertonMug,0x00,EarthAffinity,0x22,16,14,8,8,8,7,6,5,2,0x00,BRank,0x00,0x00,0x00,0x00,0x00,0x00,70,45,40,45,40,40,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Djur,DjurName,DjurDesc,0x27,SwordArmour,DjurMug,0x00,FireAffinity,0x33,18,16,11,8,7,8,5,7,2,BRank,1,0x00,0x00,0x00,0x00,0x00,0x00,85,60,50,50,35,20,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Radmin,RadminName,RadminDesc,0x28,Sage,RadminMug,0x00,WindAffinity,0x21,1,1,2,1,1,1,1,11,1,0x00,0x00,0x00,0x00,1,0x00,0x00,0x00,50,35,25,35,25,35,50,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Jarod,JarodName,JarodDesc,0x29,Halberdier,JarodMug,0x00,ThunderAffinity,0x07,4,6,3,2,1,3,3,10,0,0x00,BRank,0x00,0x00,0x00,0x00,0x00,0x00,55,90,30,75,50,45,50,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Zeffren,ZeffrenName,ZeffrenDesc,0x2A,WyvernLord,ZeffrenMug,0x00,FireAffinity,0x0C,9,8,5,5,0,2,5,12,1,0x00,BRank,ARank,0x00,0x00,0x00,0x00,0x00,60,35,30,30,25,30,50,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Yeardley,YeardleyName,YeardleyDesc,0x2B,General,YeardleyMug,0x00,WaterAffinity,0x30,5,3,1,1,1,0,1,7,0,0x00,BRank,0x00,0x00,0x00,0x00,0x00,0x00,55,40,30,25,50,50,40,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Maraj,MarajName,MarajDesc,0x2C,Sage,MarajMug,0x00,EarthAffinity,0x38,6,6,4,4,3,3,3,5,1,0x00,0x00,0x00,0x00,1,CRank+16,0x00,0x00,50,35,30,25,25,30,50,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Tashoria,TashoriaName,TashoriaDesc,0x2D,Swordmaster,TashoriaMug,0x00,FireAffinity,0x23,8,7,2,4,3,4,2,9,1,BRank,0x00,0x00,0x00,0x00,0x00,0x00,0x00,50,35,40,35,40,15,50,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Ludveck,LudveckName,LudveckDesc,0x2E,General,LudveckMug,0x00,ThunderAffinity,0x27,11,11,6,4,3,6,6,12,2,0x00,1,SRank,0x00,0x00,0x00,0x00,0x00,60,70,25,60,70,55,40,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Silvano,SilvanoName,SilvanoDesc,0x2F,Sniper,SilvanoMug,0x00,EarthAffinity,0x2B,8,6,3,4,3,4,3,3,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,35,45,25,45,25,50,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Rommit,RommitName,RommitDesc,0x30,Halberdier,RommitMug,0x00,ThunderAffinity,0x28,9,7,5,5,3,5,3,7,0,0x00,BRank,0x00,0x00,0x00,0x00,0x00,0x00,55,35,30,30,55,20,50,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Istvan,IstvanName,IstvanDesc,0x31,WyvernLord,IstvanMug,0x00,DarkAffinity,0x1F,11,11,6,5,4,5,4,6,0,0x00,CRank,BRank,0x00,0x00,0x00,0x00,0x00,60,35,30,30,25,30,50,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Veyona,VeyonaName,VeyonaDesc,0x32,Druid,VeyonaMug,0x00,LightAffinity,0x16,9,5,7,4,6,5,7,5,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,BRank,50,65,25,30,35,40,35,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Callum,CallumName,CallumDesc,0x33,General,CallumMug,0x00,WindAffinity,0x15,12,9,6,5,4,4,3,7,1,BRank,0x00,0x00,0x00,0x00,0x00,0x00,0x00,55,40,35,25,45,50,40,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Lombroso,LombrosoName,LombrosoDesc,0x34,GreatKnight,LombrosoMug,0x00,FireAffinity,0x14,14,10,5,8,7,8,6,7,0,0x00,1,ARank,0x00,0x00,0x00,0x00,0x00,55,30,35,25,35,20,55,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Kezhda,KezhdaName,KezhdaDesc,0x35,Cat,KezhdaMug,0x00,ThunderAffinity,0x24,17,16,6,5,6,6,4,14,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,80,30,30,35,30,20,50,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Septimus,SeptimusName,SeptimusDesc,0x36,General,SeptimusMug,0x00,EarthAffinity,0x2A,15,10,7,4,4,7,7,9,-1,0x00,ARank,0x00,0x00,0x00,0x00,0x00,0x00,55,40,30,25,50,50,40,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Roark,RoarkName,RoarkDesc,0x37,Halberdier,RoarkMug,0x00,WindAffinity,0x1E,12,9,5,6,5,7,3,8,1,0x00,SRank,0x00,0x00,0x00,0x00,0x00,0x00,55,35,30,30,55,20,50,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Sergei,SergeiName,SergeiDesc,0x38,Ranger,SergeiMug,0x00,WaterAffinity,0x3C,17,9,5,9,8,7,6,10,0,1,0x00,0x00,ARank,0x00,0x00,0x00,0x00,45,20,40,30,30,30,55,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Goran,GoranName,GoranDesc,0x39,Warrior,GoranMug,0x00,FireAffinity,0x3E,17,14,9,6,7,9,5,11,1,0x00,0x00,ARank,0x00,0x00,0x00,0x00,0x00,65,50,30,35,40,20,50,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Yuma,YumaName,YumaDesc,0x3A,Paladin,YumaMug,0x00,DarkAffinity,0x00,10,12,7,9,7,5,7,19,1,ARank,1,0x00,0x00,0x00,0x00,0x00,0x00,90,70,85,70,45,60,80,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x3B Lyon's Summon,0x2f1,0x33d,0x3b,0x7,0x0,0x7,DarkAffinity,0x25,1,0,3,2,3,0,0,20,0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,60,45,30,0,0,60,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3C <Summon>,0x26d,0x32e,0x3c,0x31,0x0,0x0,NoAffinity,0x0,18,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,CRank,50,30,35,32,8,40,45,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3D <'Summonern'>,0x26c,0x32e,0x3d,0x31,0x0,0x0,NoAffinity,0x0,9,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,CRank,50,30,35,32,8,40,45,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3E Knoll's Summon,0x2f1,0x33d,0x3e,0x7,0x0,0x7,DarkAffinity,0x21,1,0,2,1,2,0,0,10,0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,50,50,40,0,0,55,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3F Ewan's Summon,0x2f1,0x33d,0x3f,0x7,0x0,0x7,DarkAffinity,0x1a,1,0,1,2,1,0,0,0,0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,70,40,20,0,0,40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x40 Lyon (Ch 17),LyonName,LyonDesc,0x40,Necromancer,Lyon2Mug,0x0,IceAffinity,0x0,14,26,13,9,6,14,11,4,0,NoRank,NoRank,NoRank,NoRank,ARank,NoRank,NoRank,SRank,85,50,55,55,45,55,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x41 Morva (Ch 20),MorvaName,MorvaDesc,0x41,Manakete_2,0x0,0x1,WindAffinity,0x0,18,42,16,10,11,3,7,7,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,150,100,90,70,160,80,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x42 Orson (Ch 5x),OrsonName,OrsonDesc,0x42,Paladin,Orson2Mug,0x0,DarkAffinity,0x0,3,11,8,9,4,5,4,4,1,ARank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,80,55,45,40,45,30,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x43 Valter (Ch 15),ValterName,ValterDesc,0x43,WyvernKnight,Valter2Mug,0x0,IceAffinity,0x0,13,25,12,10,9,6,11,3,1,NoRank,SRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,80,40,55,50,20,20,15,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x44 Selena (Ch 10B & 13B),SelenaName,SelenaDesc,0x44,MageKnight_F,Selena2Mug,0x0,ThunderAffinity,0x0,11,19,10,8,10,8,11,10,0,NoRank,NoRank,NoRank,NoRank,BRank,ARank,NoRank,NoRank,85,40,55,40,20,30,25,0x0,0x0,0x0,0x0,0x0,IsBoss|IsFemale,0x0,0x0,0x0,0x0,0x0
0x45 Valter (Prologue),0x237,0x292,0x45,0x23,0x42,0x0,IceAffinity,0x0,5,14,6,7,6,3,5,2,1,NoRank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x46 Breguet (Ch 1),0x239,0x294,0x46,0x9,0x31,0x0,ThunderAffinity,0x0,4,3,3,0,1,0,0,2,0,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x47 Bone (Ch 2),0x23a,0x295,0x47,0x41,0x32,0x0,IceAffinity,0x0,4,3,1,3,0,1,0,0,0,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x48 Bazba (Ch 3),0x23b,0x296,0x48,0x41,0x33,0x0,FireAffinity,0x0,6,5,3,4,2,2,2,1,0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x49 Entombed (Ch 4),0x255,0x2b1,0x49,0x53,0x0,0x4,DarkAffinity,0x0,6,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4A Saar (Ch 5),0x23c,0x297,0x4a,0x9,0x34,0x0,AnimaAffinity,0x0,8,13,6,5,3,2,3,4,0,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4B Novala (Ch 6),0x23d,0x298,0x4b,0x2d,0x36,0x0,FireAffinity,0x0,10,12,8,7,4,3,5,7,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,CRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4C Murray (Ch 7),0x23e,0x299,0x4c,0x5,0x37,0x0,LightAffinity,0x0,12,12,3,7,5,1,6,7,0,CRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4D Tirado (Ch 8),0x23f,0x29a,0x4d,0xb,0x38,0x0,AnimaAffinity,0x0,1,19,5,4,2,1,5,2,0,BRank,ARank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4E Binks (Ch 9A),0x240,0x29b,0x4e,0x40,0x39,0x0,DarkAffinity,0x0,5,14,8,5,2,7,8,3,0,NoRank,NoRank,BRank,CRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4F Pablo (Ch 10A),0x241,0x29c,0x4f,0x27,0x3a,0x0,IceAffinity,0x0,7,16,8,5,8,2,12,9,0,NoRank,NoRank,NoRank,NoRank,CRank,BRank,CRank,NoRank,85,50,25,35,15,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x50 Maelduin (Ch 12A),0x255,0x2b1,0x50,0x5e,0x0,0x4,DarkAffinity,0x0,9,15,6,6,2,4,8,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x51 Aias (Ch 13A),0x242,0x29d,0x51,0x35,0x3b,0x0,AnimaAffinity,0x0,10,25,10,7,4,8,9,11,1,ARank,BRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,35,35,25,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
