INLINE gCharacterDataFE15,Name,Description,ID,Support Class,Portrait,Map Portrait,Affinity,Unit Sort Order,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,N/A,N/A,N/A,N/A,N/A,CharClassAbility,Support Data Ptr,N/A (Conversation Group),N/A,N/A,N/A
Luthier,LuthierName,LuthierDesc,0x0B,Mage,LuthierMug,0x00,LightningAffinity,0x05,1,7,8,6,4,3,5,4,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,50,30,75,40,35,2,50,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed5c,0x0,0x0,0x0,0x0
Mathilda,MathildaName,MathildaDesc,0x0C,Cavalier,MathildaMug,0x00,FireAffinity,0x12,4,6,8,9,8,4,6,8,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,40,50,45,55,40,4,45,0x0,0x0,0x0,0x0,0x0,0x0,0x88aeccc,0x7,0x0,0x0,0x0
Delthea,DeltheaName,DeltheaDesc,0x0D,Mage,DeltheaMug,0x00,WaterAffinity,0x20,3,5,7,5,6,2,10,6,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,30,70,35,55,20,4,40,0x0,0x0,0x0,0x0,0x0,0x0,0x88aece4,0xa,0x0,0x0,0x0
Tatiana,TatianaName,TatianaDesc,0x0E,Cleric,TatianaMug,0x00,FireAffinity,0x11,3,7,9,8,6,2,12,6,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,30,50,45,40,30,4,35,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee1c,0x0,0x0,0x0,0x0
Zeke,ZekeName,ZekeDesc,0x0F,GoldKnight,ZekeMug,0x00,HeavenAffinity,0x08,6,10,13,8,9,9,4,9,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,45,55,55,45,1,40,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebc4,0x3,0x0,0x0,0x0
Mycen,MycenName,MycenDesc,0x10,GoldKnight,MycenMug,0x00,WaterAffinity,0x35,5,11,14,9,7,12,5,7,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,20,10,10,10,10,3,5,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed2c,0x3,0x0,0x0,0x0
Faye,FayeName,FayeDesc,0x11,Villager,FayeMug,0x00,FireAffinity,0x0D,7,4,5,0,1,2,4,1,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,40,40,30,30,40,3,30,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed14,0x3,0x0,0x0,0x0
Celica,CelicaName,CelicaDesc,0x12,Priestess,CelicaMug,0x00,FireAffinity,0x36,10,5,5,4,4,2,4,4,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,50,60,50,50,35,4,45,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee34,0x7,0x0,0x0,0x0
Mae,MaeName,MaeDesc,0x13,Mage,MaeMug,0x00,FireAffinity,0x1C,3,5,6,0,4,1,6,4,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,35,60,35,40,30,2,40,0x0,0x0,0x0,0x0,0x0,0x0,0x88aecb4,0x0,0x0,0x0,0x0
Boey,BoeyName,BoeyDesc,0x14,Mage,BoeyMug,0x00,WaterAffinity,0x10,1,5,5,1,2,2,4,2,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,55,45,55,30,45,1,25,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed74,0x4,0x0,0x0,0x0
Genny,GennyName,GennyDesc,0x15,Cleric,GennyMug,0x00,HeavenAffinity,0x09,10,4,4,1,3,0,8,3,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,30,60,50,30,20,5,35,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed8c,0x7,0x0,0x0,0x0
Saber,SaberName,SaberDesc,0x16,Mercenary,SaberMug,0x00,ThunderAffinity,0x1A,1,5,6,6,6,2,4,6,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,35,30,35,45,0,25,0x0,0x0,0x0,0x0,0x0,0x0,0x88aeda4,0xc,0x0,0x0,0x0
Valbar,ValbarName,ValbarDesc,0x17,Knight,ValbarMug,0x00,WindAffinity,0x2D,12,7,9,3,1,8,0,1,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,40,40,30,50,1,25,0x0,0x0,0x0,0x0,0x0,0x0,0x88aedbc,0x6,0x0,0x0,0x0
Kamui,KamuiName,KamuiDesc,0x18,Mercenary,KamuiMug,0x00,WindAffinity,0x03,12,6,6,3,5,4,1,5,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,50,40,30,40,30,0,25,0x0,0x0,0x0,0x0,0x0,0x0,0x88aedd4,0x5,0x0,0x0,0x0
Leon,LeonName,LeonDesc,0x19,Archer,LeonMug,0x00,HeavenAffinity,0x04,10,5,7,3,4,2,0,4,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,45,30,50,30,30,4,30,0x0,0x0,0x0,0x0,0x0,0x0,0x88aedec,0xb,0x0,0x0,0x0
Palla,PallaFe15Name,PallaFe15Desc,0x1A,PegasusKnight,PallaFe15Mug,0x00,HeavenAffinity,0x29,1,7,8,6,6,4,3,6,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,50,60,50,30,45,1,25,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee04,0x4,0x0,0x0,0x0
Catria,CatriaFe15Name,CatriaFe15Desc,0x1B,PegasusKnight,CatriaFe15Mug,0x00,EarthAffinity,0x2C,10,6,7,8,8,3,6,8,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,40,40,45,55,35,2,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Atlas,AtlasName,AtlasDesc,0x1C,Villager,AtlasMug,0x00,FireAffinity,0x02,10,7,9,2,2,3,2,2,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,45,50,30,25,25,0,25,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee4c,0x0,0x0,0x0,0x0
Jesse,JesseName,JesseDesc,0x1D,Mercenary,JesseMug,0x00,WaterAffinity,0x17,1,7,7,6,8,3,4,8,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,40,35,40,45,30,0,55,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee64,0x4,0x0,0x0,0x0
Sonya,SonyaName,SonyaDesc,0x1E,Mage,SonyaMug,0x00,WaterAffinity,0x0A,1,6,8,7,8,3,8,8,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,40,45,50,35,40,4,30,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee7c,0xc,0x0,0x0,0x0
Deen,DeenFe15Name,DeenFe15Desc,0x1F,Myrmidon,DeenFe15Mug,0x00,HeavenAffinity,0x0B,10,8,8,11,11,6,2,11,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,45,35,40,40,0,15,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee94,0x3,0x0,0x0,0x0
Est,EstFe15Name,EstFe15Desc,0x20,PegasusKnight,EstFe15Mug,0x00,LightAffinity,0x25,10,5,6,3,7,2,8,7,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,35,55,50,40,50,3,55,0x0,0x0,0x0,0x0,0x0,0x0,0x88aecfc,0x3,0x0,0x0,0x0
Nomah,NomahName,NomahDesc,0x21,Sage,NomahMug,0x00,FireAffinity,0x0E,10,7,8,10,5,4,9,5,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,15,20,25,15,10,1,10,0x0,0x0,0x0,0x0,0x0,0x0,0x88aeeac,0xa,0x0,0x0,0x0
Conrad,ConradName,ConradDesc,0x22,GoldKnight,ConradMug,0x00,WaterAffinity,0x18,10,8,10,12,10,6,8,10,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,50,30,60,45,50,8,40,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed44,0xa,0x0,0x0,0x0
Desaix unused below,0x267,0x267,0x23,PegasusKnight,CynthiaMug,0x00,FireAffinity,0x2F,10,4,3,2,6,4,4,11,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,45,35,25,45,30,30,70,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Slayde,0x267,0x267,0x24,Mercenary,SeveraMug,0x00,DarkAffinity,0x32,10,5,4,4,4,4,3,4,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,45,40,45,35,40,30,35,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Barth,0x267,0x267,0x25,WyvernRider,GeromeMug,0x00,LightAffinity,0x26,10,8,5,2,5,3,0,3,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,65,50,40,40,40,10,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Zakson,0x267,0x267,0x26,Tactician,MorganMug,0x00,WindAffinity,0x22,10,6,5,4,4,2,4,4,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,35,40,40,40,25,25,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Lawson,0x267,0x267,0x27,Taguel,YarneMug,0x00,WaterAffinity,0x33,10,10,6,2,2,4,0,8,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,70,50,45,40,45,10,60,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Gazelle,0x267,0x267,0x28,Mage,LaurentMug,0x00,FireAffinity,0x21,10,6,5,4,2,2,3,7,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,45,40,40,30,25,35,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Tatarrah,0x267,0x267,0x29,Archer,NoireMug,0x00,WaterAffinity,0x0C,10,5,3,2,4,2,4,6,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,30,45,35,50,30,40,40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Berkut,0x267,0x267,0x2A,Manakete_2_F,NahMug,0x00,DarkAffinity,0x30,10,3,2,3,4,2,2,5,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,70,35,45,35,45,40,70,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Garth,0x267,0x267,0x2B,Manakete_2_F,TikiMug,0x00,EarthAffinity,0x38,20,14,10,8,10,8,6,12,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,80,40,35,30,45,45,80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Wolff,0x267,0x267,0x2C,Trickster,GangrelMug,0x00,LightAffinity,0x23,6,20,11,12,14,10,8,10,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,40,40,50,50,30,30,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Deen,0x267,0x267,0x2D,Conqueror,WalhartMug,0x00,HeavenAffinity,0x27,20,31,19,16,16,15,9,20,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,75,60,30,30,45,25,45,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Sonya,0x267,0x267,0x2E,Cleric,EmmerynMug,0x00,DarkAffinity,0x2B,8,14,12,12,12,5,10,8,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,45,55,40,40,25,35,70,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Grieth,0x267,0x267,0x2F,Swordmaster,YenfayMug,0x00,DarkAffinity,0x28,15,26,15,18,18,10,9,18,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,45,45,50,30,20,60,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Blake,0x267,0x267,0x30,DarkFlier,AversaMug,0x00,LightAffinity,0x1F,20,24,16,14,14,10,12,17,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,45,45,35,40,30,30,65,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Mikhail,0x267,0x267,0x31,Mercenary,PriamMug,0x00,FireAffinity,0x16,10,34,21,22,18,20,14,23,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,80,60,40,30,40,10,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Xaizor,0x267,0x267,0x32,Archer,0x00,0x00,0x00,0x15,9,-2,0,2,2,0,3,6,-3,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,85,50,35,35,25,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Marla,0x267,0x267,0x33,Priest,0x00,0x00,0x00,0x14,1,7,2,5,2,4,3,7,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,85,50,35,35,25,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Nuibaba,0x267,0x267,0x34,Soldier,0x00,0x00,0x00,0x24,7,4,2,4,2,4,0,6,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,85,50,35,35,25,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Zeke,0x267,0x267,0x35,Cavalier,0x00,0x00,0x00,0x2A,9,6,5,6,5,3,4,7,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,85,50,35,35,25,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Jerome,0x267,0x267,0x36,Druid,0x00,0x00,0x00,0x1E,12,4,6,4,6,4,5,14,-1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,85,50,35,35,25,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Magnus,0x267,0x267,0x37,0x01,0x00,0x00,0x00,0x07,8,2,2,2,2,2,2,2,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,85,50,35,35,25,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Hestia,0x267,0x267,0x38,0x01,0x00,0x00,0x00,0x3C,10,2,2,2,2,2,2,2,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,85,50,35,35,25,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Mueller,0x267,0x267,0x39,Rogue,0x00,0x00,0x00,0x3E,1,7,2,12,13,3,11,16,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,85,50,35,35,25,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Rudolf,0x267,0x267,0x3A,0x01,0x00,0x00,0x00,0x00,0,0,2,0,0,0,0,27,-3,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,85,50,35,35,25,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3B Lyon's Summon,0x2f1,0x33d,0x3b,0x7,0x0,0x7,DarkAffinity,0x25,1,0,3,2,3,0,0,20,0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,60,45,30,0,0,60,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3C <Summon>,0x26d,0x32e,0x3c,0x31,0x0,0x0,NoAffinity,0x0,18,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,CRank,50,30,35,32,8,40,45,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3D <'Summonern'>,0x26c,0x32e,0x3d,0x31,0x0,0x0,NoAffinity,0x0,9,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,CRank,50,30,35,32,8,40,45,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3E Knoll's Summon,0x2f1,0x33d,0x3e,0x7,0x0,0x7,DarkAffinity,0x21,1,0,2,1,2,0,0,10,0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,50,50,40,0,0,55,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3F Ewan's Summon,0x2f1,0x33d,0x3f,0x7,0x0,0x7,DarkAffinity,0x1a,1,0,1,2,1,0,0,0,0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,70,40,20,0,0,40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x40 Lyon (Ch 17),0x234,0x28f,0x40,0x4f,0x4a,0x0,IceAffinity,0x0,14,26,13,9,6,14,11,4,0,NoRank,NoRank,NoRank,NoRank,ARank,NoRank,NoRank,SRank,85,50,55,55,45,55,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x41 Morva (Ch 20),0x235,0x290,0x41,0x3b,0x0,0x1,WindAffinity,0x0,18,42,16,10,11,3,7,7,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,150,100,90,70,160,80,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x42 Orson (Ch 5x),0x236,0x291,0x42,0x7,0x45,0x0,DarkAffinity,0x0,3,11,8,9,4,5,4,4,1,ARank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,80,55,45,40,45,30,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x43 Valter (Ch 15),0x237,0x292,0x43,0x23,0x42,0x0,IceAffinity,0x0,13,25,12,10,9,6,11,3,1,NoRank,SRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,80,40,55,50,20,20,15,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x44 Selena (Ch 10B & 13B),0x238,0x293,0x44,0x2a,0x3f,0x0,ThunderAffinity,0x0,11,19,10,8,10,8,11,10,0,NoRank,NoRank,NoRank,NoRank,BRank,ARank,NoRank,NoRank,85,40,55,40,20,30,25,0x0,0x0,0x0,0x0,0x0,IsBoss|IsFemale,0x0,0x0,0x0,0x0,0x0
0x45 Valter (Prologue),0x237,0x292,0x45,0x23,0x42,0x0,IceAffinity,0x0,5,14,6,7,6,3,5,2,1,NoRank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x46 Breguet (Ch 1),0x239,0x294,0x46,0x9,0x31,0x0,ThunderAffinity,0x0,4,3,3,0,1,0,0,2,0,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x47 Bone (Ch 2),0x23a,0x295,0x47,0x41,0x32,0x0,IceAffinity,0x0,4,3,1,3,0,1,0,0,0,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x48 Bazba (Ch 3),0x23b,0x296,0x48,0x41,0x33,0x0,FireAffinity,0x0,6,5,3,4,2,2,2,1,0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x49 Entombed (Ch 4),0x255,0x2b1,0x49,0x53,0x0,0x4,DarkAffinity,0x0,6,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4A Saar (Ch 5),0x23c,0x297,0x4a,0x9,0x34,0x0,AnimaAffinity,0x0,8,13,6,5,3,2,3,4,0,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4B Novala (Ch 6),0x23d,0x298,0x4b,0x2d,0x36,0x0,FireAffinity,0x0,10,12,8,7,4,3,5,7,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,CRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4C Murray (Ch 7),0x23e,0x299,0x4c,0x5,0x37,0x0,LightAffinity,0x0,12,12,3,7,5,1,6,7,0,CRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4D Tirado (Ch 8),0x23f,0x29a,0x4d,0xb,0x38,0x0,AnimaAffinity,0x0,1,19,5,4,2,1,5,2,0,BRank,ARank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4E Binks (Ch 9A),0x240,0x29b,0x4e,0x40,0x39,0x0,DarkAffinity,0x0,5,14,8,5,2,7,8,3,0,NoRank,NoRank,BRank,CRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4F Pablo (Ch 10A),0x241,0x29c,0x4f,0x27,0x3a,0x0,IceAffinity,0x0,7,16,8,5,8,2,12,9,0,NoRank,NoRank,NoRank,NoRank,CRank,BRank,CRank,NoRank,85,50,25,35,15,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x50 Maelduin (Ch 12A),0x255,0x2b1,0x50,0x5e,0x0,0x4,DarkAffinity,0x0,9,15,6,6,2,4,8,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x51 Aias (Ch 13A),0x242,0x29d,0x51,0x35,0x3b,0x0,AnimaAffinity,0x0,10,25,10,7,4,8,9,11,1,ARank,BRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,35,35,25,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x52 Carlyle (Ch 14A),0x243,0x29e,0x52,0x15,0x3c,0x0,FireAffinity,0x0,11,20,6,6,8,4,8,8,0,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,65,10,10,20,20,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x53 Caellach (Ch 15),0x244,0x29f,0x53,0x11,0x43,0x0,ThunderAffinity,0x0,12,25,13,5,3,7,11,14,2,ARank,NoRank,SRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,45,45,30,20,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x54 Pablo (Ch 13A),0x241,0x29c,0x54,0x27,0x3a,0x0,IceAffinity,0x0,7,14,8,5,8,2,12,9,0,NoRank,NoRank,NoRank,NoRank,CRank,BRank,CRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
