INLINE gCharacterDataFE5_Bosses,Name,Description,ID,Support Class,Portrait,Map Portrait,Affinity,Unit Sort Order,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,N/A,N/A,N/A,N/A,N/A,CharClassAbility,Support Data Ptr,N/A (Conversation Group),N/A,N/A,N/A
Cullough,CulloughName,CulloughDesc,0x0D,Warrior,CulloughMug,0x00,NoAffinity,0x20,8,22,6,6,6,5,0,3,8,NoRank,0x00,CRank,0x00,0x00,0x00,0x00,0x00,90,3,30,30,20,3,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aece4,0xa,0x0,0x0,0x0
Liszt,LisztName,LisztDesc,0x0E,General,LisztMug,0x00,NoAffinity,0x11,12,20,7,6,7,5,1,6,10,BRank,ARank,BRank,BRank,0x00,0x00,0x00,0x00,90,3,30,30,20,3,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aee1c,0x0,0x0,0x0,0x0
Bardac,BardacName,BardacDesc,0x0F,General,BardacMug,0x00,NoAffinity,0x08,14,22,8,7,8,6,2,14,10,BRank,ARank,ARank,BRank,0x00,0x00,0x00,0x00,90,3,30,30,20,3,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aebc4,0x3,0x0,0x0,0x0
Paulus,PaulusName,PaulusDesc,0x10,Baron,PaulusMug,0x00,NoAffinity,0x35,14,18,9,8,9,5,5,8,8,ARank,ARank,ARank,ARank,NoRank,ARank,0x00,0x00,70,30,30,20,30,5,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aed2c,0x3,0x0,0x0,0x0
McCloy,McCloyName,McCloyDesc,0x11,DragonKnight,McCloyMug,0x00,NoAffinity,0x0D,15,13,3,5,5,3,1,4,8,CRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,50,20,15,10,15,3,10,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aed14,0x3,0x0,0x0,0x0
Codda,CoddaName,CoddaDesc,0x12,Druid,CoddaMug,0x00,NoAffinity,0x36,9,14,4,7,7,4,4,11,6,0x00,0x00,0x00,0x00,ARank,DRank,0x00,ARank,90,3,30,30,20,3,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aee34,0x7,0x0,0x0,0x0
Eichmann,EichmannName,EichmannDesc,0x13,Mercenary2,EichmannMug,0x00,NoAffinity,0x1C,10,18,8,8,8,6,0,16,8,ARank,0x00,ARank,0x00,NoRank,0x00,0x00,0x00,90,30,30,30,20,3,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aecb4,0x0,0x0,0x0,0x0
Zyle,ZyleName,ZyleDesc,0x14,Warrior,ZyleMug,0x00,NoAffinity,0x10,18,27,12,10,10,7,2,9,10,0x00,0x00,ARank,CRank,0x00,0x00,0x00,0x00,90,30,30,30,20,3,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aed74,0x4,0x0,0x0,0x0
Kempf,KempfName,KempfDesc,0x15,MageKnight,KempfMug,0x00,NoAffinity,0x09,10,20,10,8,9,6,6,10,8,ARank,0x00,0x00,0x00,0x00,CRank,0x00,0x00,55,60,30,60,45,45,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aed8c,0x7,0x0,0x0,0x0
Brook,BrookName,BrookDesc,0x16,General,BrookMug,0x00,NoAffinity,0x1A,16,20,10,9,8,6,4,12,9,ARank,ARank,CRank,ARank,0x00,0x00,0x00,0x00,90,30,30,30,20,3,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aeda4,0xc,0x0,0x0,0x0
Rinecock,RinecockName,RinecockDesc,0x17,Druid,RinecockMug,0x00,NoAffinity,0x2D,5,21,3,7,4,4,3,5,3,0x00,0x00,0x00,NoRank,ARank,1,0x00,ARank,90,3,30,30,20,3,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aedbc,0x6,0x0,0x0,0x0
Moore,MooreName,MooreDesc,0x18,Druid,MooreMug,0x00,NoAffinity,0x03,12,20,8,8,9,4,8,8,6,NoRank,NoRank,NoRank,NoRank,ARank,1,0x01,ARank,90,3,30,30,20,3,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aedd4,0x5,0x0,0x0,0x0
Nikalaf,NikalafName,NikalafDesc,0x19,General,NikalafMug,0x00,NoAffinity,0x04,20,28,8,7,6,3,3,13,10,ARank,ARank,ARank,ARank,0x00,0x00,0x00,0x00,90,30,30,30,20,3,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aedec,0xb,0x0,0x0,0x0
MuellerFE5,MuellerFE5Name,MuellerFE5Desc,0x1A,MageKnight,MuellerFE5Mug,0x00,NoAffinity,0x29,14,22,10,10,9,6,7,11,8,ARank,0x00,0x00,NoRank,0x00,CRank+16,0x00,0x00,70,30,30,20,30,5,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aee04,0x4,0x0,0x0,0x0
Palman,PalmanName,PalmanDesc,0x1B,General,PalmanMug,0x00,NoAffinity,0x2C,14,20,9,8,8,6,2,8,9,ARank,CRank,CRank,DRank,0x00,0x00,0x00,0x00,90,30,30,30,20,3,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Gustaf,GustafName,GustafDesc,0x1C,Baron,GustafMug,0x00,NoAffinity,0x02,17,28,10,10,9,5,10,13,10,DRank,ARank,DRank,DRank,ARank,CRank+33,0x00,0x00,70,30,30,20,30,5,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aee4c,0x0,0x0,0x0,0x0
Wolffe,WolffeName,WolffeDesc,0x1D,Baron,WolffeMug,0x00,NoAffinity,0x17,15,30,10,12,5,5,10,10,10,ARank,ARank,ARank,ARank,ARank,BRank+16,0x00,0x00,70,30,30,20,30,5,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aee64,0x4,0x0,0x0,0x0
Barath,BarathName,BarathDesc,0x1E,Baron,BarathMug,0x00,NoAffinity,0x0A,15,30,10,12,5,5,10,10,10,ARank,ARank,ARank,ARank,ARank,BRank+16,0x00,NoRank,70,30,30,20,30,5,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aee7c,0xc,0x0,0x0,0x0
Seimetol,SeimetolName,SeimetolDesc,0x1F,DragonKnight,SeimetolMug,0x00,NoAffinity,0x0B,13,24,8,6,7,6,4,14,9,DRank,ARank,0x00,0x00,0x00,0x00,0x00,0x00,50,20,15,10,15,3,10,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aee94,0x3,0x0,0x0,0x0
Fraus,FrausName,FrausDesc,0x20,Bishop,FrausMug,0x00,NoAffinity,0x25,19,24,12,10,9,5,12,10,9,0x00,0x00,0x00,0x00,ARank,BRank+32,0x00,0x00,30,20,10,10,5,20,10,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aecfc,0x3,0x0,0x0,0x0
Zaom,ZaomName,ZaomDesc,0x21,Baron,ZaomMug,0x00,NoAffinity,0x0E,13,26,10,10,8,5,6,12,10,ARank,CRank,ARank,BRank,ARank,CRank+33,0x00,0x00,70,30,30,20,30,5,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aeeac,0xa,0x0,0x0,0x0
Reinhardt,ReinhardtName,ReinhardtDesc,0x22,MageKnight,ReinhardtMug,0x00,NoAffinity,0x18,20,28,17,10,10,8,17,18,9,ARank,NoRank,0x00,0x00,0x00,ARank,0x00,0x00,50,55,30,40,50,40,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aed44,0xa,0x0,0x0,0x0
Cohen,CohenName,CohenDesc,0x23,Baron,CohenMug,0x00,NoAffinity,0x2F,20,20,9,10,5,0,9,7,4,DRank,ARank,DRank,DRank,ARank,CRank+33,0x00,0x00,70,30,30,20,30,5,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Alphand,AlphandName,AlphandDesc,0x24,Druid,AlphandMug,0x00,NoAffinity,0x32,13,26,8,9,9,6,8,13,7,NoRank,NoRank,0x00,0x00,ARank,1,0x00,ARank,90,3,30,30,20,3,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Farden,FardenName,FardenDesc,0x25,Paladin,FardenMug,0x00,NoAffinity,0x26,20,24,10,8,10,8,4,16,10,ARank,ARank,0x00,0x00,NoRank,NoRank,NoRank,0x00,70,30,30,20,30,5,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Coruta,CorutaName,CorutaDesc,0x26,DragonKnight,CorutaMug,0x00,NoAffinity,0x22,14,24,9,10,9,7,4,9,9,DRank,ARank,0x00,0x00,NoRank,NoRank,NoRank,0x00,75,25,22,20,22,6,10,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Raydrik,RaydrikName,RaydrikDesc,0x27,Baron,RaydrikMug,0x00,NoAffinity,0x33,20,30,6,6,6,1,5,6,10,ARank,ARank,ARank,ARank,ARank,ARank,0x00,0x00,40,35,35,35,45,25,50,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Veld,VeldName,VeldDesc,0x28,Druid,VeldMug,0x00,NoAffinity,0x21,20,50,11,13,14,9,11,12,6,NoRank,0x00,0x00,0x00,ARank,ARank,0x00,ARank,55,65,30,45,40,65,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Citizen,VillagerName,VillagerDesc,0x29,Priest,SleufMug,0x00,NoAffinity,0x0C,6,0,3,3,5,5,3,9,0,0x00,0x00,0x00,0x00,ARank,0x00,0x00,0x00,35,40,75,45,10,40,20,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Citizen,VillagerName,VillagerDesc,0x2A,Sister,SaraMug,0x00,NoAffinity,0x30,7,0,10,10,4,0,10,10,0,0x00,0x00,0x00,0x00,BRank,ERank,DRank,0x00,40,80,80,80,10,80,40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Citizen,VillagerName,VillagerDesc,0x2B,Mage_F,MirandaMug,0x00,NoAffinity,0x38,5,3,5,1,4,1,5,7,0,0x00,0x00,0x00,0x00,0x00,DRank-5,0x00,0x00,60,70,55,70,15,70,35,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Citizen,VillagerName,VillagerDesc,0x2C,Swordmaster,ShannamMug,0x00,NoAffinity,0x23,1,0,0,0,0,0,0,1,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,50,50,5,50,5,5,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Citizen,VillagerName,VillagerDesc,0x2D,PegasusKnight,MishaMug,0x00,NoAffinity,0x27,4,10,8,6,8,3,8,6,1,ARank,ARank,0x00,0x00,0x00,0x00,0x00,0x00,65,55,65,80,20,15,40,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x0,0x0,0x0
Citizen,VillagerName,VillagerDesc,0x2E,General,XavierMug,0x00,NoAffinity,0x2B,6,12,6,4,4,5,6,3,5,CRank,ERank,ARank,ARank,0x00,0x00,0x00,0x00,50,45,55,50,15,45,70,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Citizen,VillagerName,VillagerDesc,0x2F,Paladin_F,AmaldaMug,0x00,NoAffinity,0x28,6,14,8,8,9,6,8,11,3,ARank,0x00,0x00,0x00,CRank,0x00,0x00,0x00,70,55,50,45,25,15,60,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x0,0x0,0x0
Citizen,VillagerName,VillagerDesc,0x30,Paladin,ConomorMug,0x00,NoAffinity,0x1F,13,15,8,12,5,7,8,4,6,ARank,ARank,0x00,0x00,0x00,0x00,0x00,0x00,70,60,35,50,20,5,20,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Citizen,VillagerName,VillagerDesc,0x31,ForrestKnight,DiarmuidMug,0x00,NoAffinity,0x16,3,12,6,6,5,4,0,7,4,ARank,0x00,0x00,0x00,0x00,0x00,0x00,0x00,70,40,65,45,30,15,65,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Citizen,VillagerName,VillagerDesc,0x32,Bishop,SaiasMug,0x00,NoAffinity,0x15,12,5,12,13,10,3,12,5,1,0x00,0x00,0x00,0x00,ARank,0x00,ARank,0x00,50,35,40,40,15,35,55,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Citizen,VillagerName,VillagerDesc,0x33,Sage,CedMug,0x00,NoAffinity,0x14,14,12,10,9,7,5,10,10,3,0x00,0x00,0x00,0x00,ARank,SRank,ARank,0x00,75,75,75,80,20,75,65,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Citizen,VillagerName,VillagerDesc,0x34,Mercenary2,GalzusMug,0x00,NoAffinity,0x24,20,30,14,13,13,9,8,17,10,ARank,0x00,ARank,0x00,0x00,0x00,0x00,0x00,50,45,55,50,15,45,70,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Citizen,VillagerName,VillagerDesc,0x35,1,EndMug,0x00,EarthAffinity,0x2A,1,6,5,6,5,3,4,7,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,45,40,40,60,55,50,55,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Citizen,VillagerName,VillagerDesc,0x36,1,0x0,0x00,DarkAffinity,0x1E,1,4,6,4,6,4,5,14,-1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,35,55,45,60,30,45,40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Citizen,VillagerName,VillagerDesc,0x37,1,0x0,0x00,ThunderAffinity,0x07,1,2,2,2,2,2,2,2,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,20,30,35,15,15,25,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Citizen,VillagerName,VillagerDesc,0x38,1,0x0,0x00,DarkAffinity,0x3C,1,2,2,2,2,2,2,2,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,20,30,35,15,15,25,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Citizen,VillagerName,VillagerDesc,0x39,1,0x0,0x00,WindAffinity,0x3E,1,7,2,12,13,3,11,16,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,40,50,50,70,30,40,75,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Citizen,VillagerName,VillagerDesc,0x3A,1,0x0,0x00,HeavenAffinity,0x00,1,0,2,0,0,0,0,27,-3,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,40,10,20,10,40,80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3B Lyon's Summon,0x2f1,0x33d,0x3b,0x7,0x0,0x7,DarkAffinity,0x25,1,0,3,2,3,0,0,20,0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,60,45,30,0,0,60,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3C <Summon>,0x26d,0x32e,0x3c,0x31,0x0,0x0,NoAffinity,0x0,18,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,CRank,50,30,35,32,8,40,45,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3D <'Summonern'>,0x26c,0x32e,0x3d,0x31,0x0,0x0,NoAffinity,0x0,9,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,CRank,50,30,35,32,8,40,45,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3E Knoll's Summon,0x2f1,0x33d,0x3e,0x7,0x0,0x7,DarkAffinity,0x21,1,0,2,1,2,0,0,10,0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,50,50,40,0,0,55,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3F Ewan's Summon,0x2f1,0x33d,0x3f,0x7,0x0,0x7,DarkAffinity,0x1a,1,0,1,2,1,0,0,0,0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,70,40,20,0,0,40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x40 Lyon (Ch 17),LyonName,LyonDesc,0x40,Necromancer,Lyon2Mug,0x0,IceAffinity,0x0,14,26,13,9,6,14,11,4,0,NoRank,NoRank,NoRank,NoRank,ARank,NoRank,NoRank,SRank,85,50,55,55,45,55,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x41 Morva (Ch 20),MorvaName,MorvaDesc,0x41,Manakete_2,0x0,0x1,WindAffinity,0x0,18,42,16,10,11,3,7,7,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,150,100,90,70,160,80,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x42 Orson (Ch 5x),OrsonName,OrsonDesc,0x42,Paladin,Orson2Mug,0x0,DarkAffinity,0x0,3,11,8,9,4,5,4,4,1,ARank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,80,55,45,40,45,30,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x43 Valter (Ch 15),ValterName,ValterDesc,0x43,WyvernKnight,Valter2Mug,0x0,IceAffinity,0x0,13,25,12,10,9,6,11,3,1,NoRank,SRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,80,40,55,50,20,20,15,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x44 Selena (Ch 10B & 13B),SelenaName,SelenaDesc,0x44,MageKnight_F,Selena2Mug,0x0,ThunderAffinity,0x0,11,19,10,8,10,8,11,10,0,NoRank,NoRank,NoRank,NoRank,BRank,ARank,NoRank,NoRank,85,40,55,40,20,30,25,0x0,0x0,0x0,0x0,0x0,IsBoss|IsFemale,0x0,0x0,0x0,0x0,0x0
0x45 Valter (Prologue),0x237,0x292,0x45,0x23,0x42,0x0,IceAffinity,0x0,5,14,6,7,6,3,5,2,1,NoRank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x46 Breguet (Ch 1),0x239,0x294,0x46,0x9,0x31,0x0,ThunderAffinity,0x0,4,3,3,0,1,0,0,2,0,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x47 Bone (Ch 2),0x23a,0x295,0x47,0x41,0x32,0x0,IceAffinity,0x0,4,3,1,3,0,1,0,0,0,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x48 Bazba (Ch 3),0x23b,0x296,0x48,0x41,0x33,0x0,FireAffinity,0x0,6,5,3,4,2,2,2,1,0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x49 Entombed (Ch 4),0x255,0x2b1,0x49,0x53,0x0,0x4,DarkAffinity,0x0,6,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4A Saar (Ch 5),0x23c,0x297,0x4a,0x9,0x34,0x0,AnimaAffinity,0x0,8,13,6,5,3,2,3,4,0,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4B Novala (Ch 6),0x23d,0x298,0x4b,0x2d,0x36,0x0,FireAffinity,0x0,10,12,8,7,4,3,5,7,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,CRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4C Murray (Ch 7),0x23e,0x299,0x4c,0x5,0x37,0x0,LightAffinity,0x0,12,12,3,7,5,1,6,7,0,CRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4D Tirado (Ch 8),0x23f,0x29a,0x4d,0xb,0x38,0x0,AnimaAffinity,0x0,1,19,5,4,2,1,5,2,0,BRank,ARank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4E Binks (Ch 9A),0x240,0x29b,0x4e,0x40,0x39,0x0,DarkAffinity,0x0,5,14,8,5,2,7,8,3,0,NoRank,NoRank,BRank,CRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4F Pablo (Ch 10A),0x241,0x29c,0x4f,0x27,0x3a,0x0,IceAffinity,0x0,7,16,8,5,8,2,12,9,0,NoRank,NoRank,NoRank,NoRank,CRank,BRank,CRank,NoRank,85,50,25,35,15,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x50 Maelduin (Ch 12A),0x255,0x2b1,0x50,0x5e,0x0,0x4,DarkAffinity,0x0,9,15,6,6,2,4,8,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x51 Aias (Ch 13A),0x242,0x29d,0x51,0x35,0x3b,0x0,AnimaAffinity,0x0,10,25,10,7,4,8,9,11,1,ARank,BRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,35,35,25,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x52 Carlyle (Ch 14A),0x243,0x29e,0x52,0x15,0x3c,0x0,FireAffinity,0x0,11,20,6,6,8,4,8,8,0,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,65,10,10,20,20,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
