INLINE gCharacterDataFE10,Name,Description,ID,Support Class,Portrait,Map Portrait,Affinity,Unit Sort Order,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,N/A,N/A,N/A,N/A,N/A,CharClassAbility,Support Data Ptr,N/A (Conversation Group),N/A,N/A,N/A
Sothe,SotheName,SotheDesc,0x16,Thief,SotheMug,0x00,WindAffinity,0x1A,1,4,2,5,2,2,0,5,-3,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,55,70,65,35,30,55,0x0,0x0,0x0,0x0,0x0,0x0,0x88aeda4,0xc,0x0,0x0,0x0
Astrid,AstridName,AstridDesc,0x17,BowKnight,AstridMug,0x00,WindAffinity,0x2D,1,2,2,4,1,0,3,3,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,45,40,55,50,30,25,40,0x0,0x0,0x0,0x0,0x0,0x0,0x88aedbc,0x6,0x0,0x0,0x0
Makalov,MakalovName,MakalovDesc,0x18,SwordKnight,MakalovMug,0x00,HeavenAffinity,0x03,10,10,4,5,5,4,2,8,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,55,45,50,45,20,25,0x0,0x0,0x0,0x0,0x0,0x0,0x88aedd4,0x5,0x0,0x0,0x0
Stefan,StefanName,StefanDesc,0x19,Swordmaster,StefanMug,0x00,HeavenAffinity,0x04,8,17,14,20,18,7,7,5,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,70,50,40,55,35,30,25,0x0,0x0,0x0,0x0,0x0,0x0,0x88aedec,0xb,0x0,0x0,0x0
Muarim,MuarimName,MuarimDesc,0x1A,Tiger,MuarimMug,0x00,EarthAffinity,0x29,9,17,8,7,8,5,3,11,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,50,45,40,45,25,45,35,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee04,0x4,0x0,0x0,0x0
Tormod,TormodName,TormodDesc,0x1B,Mage,TormodMug,0x00,FireAffinity,0x2C,7,4,9,7,6,1,6,8,-3,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,145,70,70,55,60,45,35,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Devdan,DevdanName,DevdanDesc,0x1C,Halberdier,DevdanMug,0x00,WaterAffinity,0x02,4,12,8,9,7,5,8,16,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,75,60,40,35,45,25,40,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee4c,0x0,0x0,0x0,0x0
Tanith,TanithName,TanithDesc,0x1D,FalconKnight,TanithMug,0x00,WaterAffinity,0x17,10,14,10,12,15,10,8,18,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,65,40,50,50,15,50,60,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee64,0x4,0x0,0x0,0x0
Reyson,ReysonName,ReysonDesc,0x1E,Heron,ReysonMug,0x00,HeavenAffinity,0x0A,3,4,5,8,7,0,0,15,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,140,60,65,60,35,25,35,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee7c,0xc,0x0,0x0,0x0
Janaff,JanaffName,JanaffDesc,0x1F,Hawk,JanaffMug,0x00,LightAffinity,0x0B,8,13,3,4,6,2,5,16,-3,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,130,55,70,65,30,25,40,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee94,0x3,0x0,0x0,0x0
Ulki,UlkiName,UlkiDesc,0x20,Hawk,UlkiMug,0x00,FireAffinity,0x25,7,15,3,3,1,5,4,10,-3,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,40,70,40,25,30,30,0x0,0x0,0x0,0x0,0x0,0x0,0x88aecfc,0x3,0x0,0x0,0x0
Calill,CalillName,CalillDesc,0x21,Sage,CalillMug,0x00,WaterAffinity,0x0E,6,12,14,14,14,3,12,16,-3,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,50,45,45,45,40,35,30,0x0,0x0,0x0,0x0,0x0,0x0,0x88aeeac,0xa,0x0,0x0,0x0
Tauroneo,TauroneoName,TauroneoDesc,0x22,General,TauroneoMug,0x00,FireAffinity,0x18,14,25,14,14,11,12,11,14,-3,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,55,50,30,60,40,15,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed44,0xa,0x0,0x0,0x0
Ranulf,RanulfName,RanulfDesc,0x23,Cat,RanulfMug,0x00,DarkAffinity,0x2F,9,19,13,11,9,13,4,13,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,130,50,55,55,35,20,35,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Haar,HaarName,HaarDesc,0x24,WyvernLord,HaarMug,0x00,LightAffinity,0x32,11,22,13,13,12,10,9,12,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,65,60,60,35,45,20,15,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Lucia,LuciaName,LuciaDesc,0x25,Swordmaster,LuciaMug,0x00,WindAffinity,0x26,12,17,11,14,15,5,5,16,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,70,50,70,65,40,40,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Bastian,BastianName,BastianDesc,0x26,Sage,BastianMug,0x00,WaterAffinity,0x22,13,15,14,17,12,7,15,15,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,55,65,65,55,35,50,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Geoffrey,GeoffreyName,GeoffreyDesc,0x27,Paladin,GeoffreyMug,0x00,FireAffinity,0x33,11,20,11,13,12,13,6,12,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,65,50,55,55,45,45,20,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Largo,LargoName,LargoDesc,0x28,Berserker,LargoMug,0x00,WaterAffinity,0x21,7,24,13,16,13,4,3,12,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,80,70,45,45,25,20,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Elincia,ElinciaName,ElinciaDesc,0x29,PrincessCrimea,ElinciaMug,0x00,DarkAffinity,0x0C,1,7,11,9,11,6,10,15,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,80,45,40,25,35,60,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Ena,EnaName,EnaDesc,0x2A,RedDragon,EnaMug,0x00,EarthAffinity,0x30,10,17,5,11,8,9,8,14,-3,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,145,35,50,60,40,30,40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Nasir,NasirName,NasirDesc,0x2B,WhiteDragon,NasirMug,0x00,LightAffinity,0x38,18,26,10,16,17,14,7,17,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,150,50,55,45,60,25,35,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Tibarn,TibarnName,TibarnDesc,0x2C,Hawk,TibarnMug,0x00,HeavenAffinity,0x23,18,35,22,24,16,18,15,24,4,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,145,70,70,65,60,25,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Naesala,NaesalaName,NaesalaDesc,0x2D,Raven,NaesalaMug,0x00,DarkAffinity,0x27,17,31,20,19,21,14,12,19,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,135,60,70,75,55,35,20,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Giffca,GiffcaName,GiffcaDesc,0x2E,Lion,GiffcaMug,0x00,DarkAffinity,0x2B,20,38,22,21,17,15,14,22,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,160,75,70,60,50,30,40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Micaiah,MicaiahName,MicaiahDesc,0x2F,Monk,MicaiahMug,0x00,LightAffinity,0x28,1,-1,3,3,2,1,-3,10,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,40,80,40,35,20,90,80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Edward,EdwardName,EdwardDesc,0x30,Myrmidon,EdwardMug,0x00,FireAffinity,0x1F,4,1,1,1,1,1,0,8,-3,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,85,65,65,60,35,20,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Leonardo,LeonardoName,LeonardoDesc,0x31,Archer,LeonardoMug,0x00,IceAffinity,0x16,4,-2,0,2,2,0,3,6,-3,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,75,75,35,35,55,65,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Nolan,NolanName,NolanDesc,0x32,Fighter,NolanMug,0x00,EarthAffinity,0x15,9,7,2,5,2,4,3,7,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,45,70,60,60,35,40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Laura,LauraName,LauraDesc,0x33,Priest,LauraMug,0x00,LightAffinity,0x14,1,-1,3,0,2,1,0,8,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,45,70,70,70,20,35,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Aran,AranName,AranDesc,0x34,Soldier,AranMug,0x00,WaterAffinity,0x24,7,4,2,4,2,4,0,6,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,50,75,75,35,70,25,35,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Fiona,FionaName,FionaDesc,0x35,Cavalier,FionaMug,0x00,EarthAffinity,0x2A,9,6,5,6,5,3,4,7,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,45,40,40,60,55,50,55,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Pelleas,PelleasName,PelleasDesc,0x36,Druid,PelleasMug,0x00,DarkAffinity,0x1E,12,4,6,4,6,4,5,14,-1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,35,55,45,60,30,45,40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Jarod,JarodName,JarodDesc,0x37,0x01,BlankMug,0x00,ThunderAffinity,0x07,8,2,2,2,2,2,2,2,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,20,30,35,15,15,25,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Izuka,IzukaName,IzukaDesc,0x38,0x01,BlankMug,0x00,DarkAffinity,0x3C,10,2,2,2,2,2,2,2,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,20,30,35,15,15,25,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Heather,HeatherName,HeatherDesc,0x39,Rogue,HeatherMug,0x00,WindAffinity,0x3E,1,7,2,12,13,3,11,16,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,40,50,50,70,30,40,75,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Leanne,LeanneName,LeanneDesc,0x3A,0x01,LeanneMug,0x00,HeavenAffinity,0x00,0,0,2,0,0,0,0,27,-3,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,40,10,20,10,40,80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3B Lyon's Summon,0x2f1,0x33d,0x3b,0x7,0x0,0x7,DarkAffinity,0x25,1,0,3,2,3,0,0,20,0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,60,45,30,0,0,60,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3C <Summon>,0x26d,0x32e,0x3c,0x31,0x0,0x0,NoAffinity,0x0,18,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,CRank,50,30,35,32,8,40,45,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3D <'Summonern'>,0x26c,0x32e,0x3d,0x31,0x0,0x0,NoAffinity,0x0,9,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,CRank,50,30,35,32,8,40,45,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3E Knoll's Summon,0x2f1,0x33d,0x3e,0x7,0x0,0x7,DarkAffinity,0x21,1,0,2,1,2,0,0,10,0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,50,50,40,0,0,55,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3F Ewan's Summon,0x2f1,0x33d,0x3f,0x7,0x0,0x7,DarkAffinity,0x1a,1,0,1,2,1,0,0,0,0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,70,40,20,0,0,40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x40 Lyon (Ch 17),0x234,0x28f,0x40,0x4f,0x4a,0x0,IceAffinity,0x0,14,26,13,9,6,14,11,4,0,NoRank,NoRank,NoRank,NoRank,ARank,NoRank,NoRank,SRank,85,50,55,55,45,55,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x41 Morva (Ch 20),0x235,0x290,0x41,0x3b,0x0,0x1,WindAffinity,0x0,18,42,16,10,11,3,7,7,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,150,100,90,70,160,80,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x42 Orson (Ch 5x),0x236,0x291,0x42,0x7,0x45,0x0,DarkAffinity,0x0,3,11,8,9,4,5,4,4,1,ARank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,80,55,45,40,45,30,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x43 Valter (Ch 15),0x237,0x292,0x43,0x23,0x42,0x0,IceAffinity,0x0,13,25,12,10,9,6,11,3,1,NoRank,SRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,80,40,55,50,20,20,15,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x44 Selena (Ch 10B & 13B),0x238,0x293,0x44,0x2a,0x3f,0x0,ThunderAffinity,0x0,11,19,10,8,10,8,11,10,0,NoRank,NoRank,NoRank,NoRank,BRank,ARank,NoRank,NoRank,85,40,55,40,20,30,25,0x0,0x0,0x0,0x0,0x0,IsBoss|IsFemale,0x0,0x0,0x0,0x0,0x0
0x45 Valter (Prologue),0x237,0x292,0x45,0x23,0x42,0x0,IceAffinity,0x0,5,14,6,7,6,3,5,2,1,NoRank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x46 Breguet (Ch 1),0x239,0x294,0x46,0x9,0x31,0x0,ThunderAffinity,0x0,4,3,3,0,1,0,0,2,0,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x47 Bone (Ch 2),0x23a,0x295,0x47,0x41,0x32,0x0,IceAffinity,0x0,4,3,1,3,0,1,0,0,0,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x48 Bazba (Ch 3),0x23b,0x296,0x48,0x41,0x33,0x0,FireAffinity,0x0,6,5,3,4,2,2,2,1,0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x49 Entombed (Ch 4),0x255,0x2b1,0x49,0x53,0x0,0x4,DarkAffinity,0x0,6,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4A Saar (Ch 5),0x23c,0x297,0x4a,0x9,0x34,0x0,AnimaAffinity,0x0,8,13,6,5,3,2,3,4,0,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4B Novala (Ch 6),0x23d,0x298,0x4b,0x2d,0x36,0x0,FireAffinity,0x0,10,12,8,7,4,3,5,7,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,CRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4C Murray (Ch 7),0x23e,0x299,0x4c,0x5,0x37,0x0,LightAffinity,0x0,12,12,3,7,5,1,6,7,0,CRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4D Tirado (Ch 8),0x23f,0x29a,0x4d,0xb,0x38,0x0,AnimaAffinity,0x0,1,19,5,4,2,1,5,2,0,BRank,ARank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4E Binks (Ch 9A),0x240,0x29b,0x4e,0x40,0x39,0x0,DarkAffinity,0x0,5,14,8,5,2,7,8,3,0,NoRank,NoRank,BRank,CRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4F Pablo (Ch 10A),0x241,0x29c,0x4f,0x27,0x3a,0x0,IceAffinity,0x0,7,16,8,5,8,2,12,9,0,NoRank,NoRank,NoRank,NoRank,CRank,BRank,CRank,NoRank,85,50,25,35,15,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x50 Maelduin (Ch 12A),0x255,0x2b1,0x50,0x5e,0x0,0x4,DarkAffinity,0x0,9,15,6,6,2,4,8,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x51 Aias (Ch 13A),0x242,0x29d,0x51,0x35,0x3b,0x0,AnimaAffinity,0x0,10,25,10,7,4,8,9,11,1,ARank,BRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,35,35,25,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x52 Carlyle (Ch 14A),0x243,0x29e,0x52,0x15,0x3c,0x0,FireAffinity,0x0,11,20,6,6,8,4,8,8,0,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,65,10,10,20,20,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
