INLINE gCharacterDataFE4,Name,Description,ID,Support Class,Portrait,Map Portrait,Affinity,Unit Sort Order,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,N/A,N/A,N/A,N/A,N/A,CharClassAbility,Support Data Ptr,N/A (Conversation Group),N/A,N/A,N/A
Chulainn,ChulainnName,ChulainnDesc,0x10,Swordfighter,ChulainnMug,0x00,NoAffinity,0x35,12,10,7,7,7,6,1,1,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,110,30,80,30,30,5,20,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed2c,0x3,0x0,0x0,0x0
Lachesis,LachesisName,LachesisDesc,0x11,Princess,LachesisMug,0x00,NoAffinity,0x0D,2,0,1,4,5,2,2,5,0,DRank,0x00,0x00,0x00,DRank,0x00,0x00,0x00,60,50,10,20,20,10,40,0x0,0x0,0x0,0x0,0x0,IsFemale,0x88aed14,0x3,0x0,0x0,0x0
Lewyn,LewynName,LewynDesc,0x12,Bard2,LewynMug,0x00,NoAffinity,0x36,6,4,5,5,6,2,2,7,0,0x00,0x00,0x00,0x00,0x00,DRank,0x00,0x00,90,30,40,90,20,10,20,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee34,0x7,0x0,0x0,0x0
Sylvia,SylviaName,SylviaDesc,0x13,Dancer2,SylviaMug,0x00,NoAffinity,0x1C,1,2,0,3,5,0,2,6,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,50,10,10,10,10,40,30,0x0,0x0,0x0,0x0,0x0,IsFemale,0x88aecb4,0x0,0x0,0x0,0x0
Fury,FuryName,FuryDesc,0x14,PegasusKnight,FuryMug,0x00,NoAffinity,0x10,6,-3,4,5,6,4,2,7,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,50,20,20,30,30,10,20,0x0,0x0,0x0,0x0,0x0,IsFemale,0x88aed74,0x4,0x0,0x0,0x0
Beowolf,BeowolfName,BeowolfDesc,0x15,FreeKnight,BeowolfMug,0x00,NoAffinity,0x09,9,8,7,5,5,4,0,3,0,DRank,0x00,0x00,0x00,0x00,0x00,0x00,0x00,80,40,40,30,20,5,20,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed8c,0x7,0x0,0x0,0x0
Brigid,BrigidName,BrigidDesc,0x16,Sniper_F,BrigidMug,0x00,NoAffinity,0x1A,2,0,8,10,9,7,6,7,3,0x00,0x00,0x00,SRank,0x00,0x00,0x00,0x00,90,30,30,20,20,5,70,0x0,0x0,0x0,0x0,0x0,IsFemale,0x88aeda4,0xc,0x0,0x0,0x0
Claude,ClaudeName,ClaudeDesc,0x17,HighPriest,ClaudeMug,0x00,NoAffinity,0x2D,10,-1,9,5,7,2,12,9,0,0x00,0x00,0x00,0x00,SRank,0x00,0x00,0x00,70,40,20,30,20,50,50,0x0,0x0,0x0,0x0,0x0,0x0,0x88aedbc,0x6,0x0,0x0,0x0
Tine,TineName,TineDesc,0x18,ThunderMage_F,TineMug,0x00,NoAffinity,0x03,3,2,3,6,4,0,4,9,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,20,60,40,10,10,50,0x0,0x0,0x0,0x0,0x0,IsFemale,0x88aedd4,0x5,0x0,0x0,0x0
Mana,ManaName,ManaDesc,0x19,Cleric,ManaMug,0x00,NoAffinity,0x04,1,-2,3,1,4,0,3,5,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,50,30,20,20,10,20,40,0x0,0x0,0x0,0x0,0x0,IsFemale,0x88aedec,0xb,0x0,0x0,0x0
Creidne,CreidneName,CreidneDesc,0x1A,Swordfighter_F,CreidneMug,0x00,NoAffinity,0x29,1,-2,2,3,5,2,1,3,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,70,40,30,40,30,20,20,0x0,0x0,0x0,0x0,0x0,IsFemale,0x88aee04,0x4,0x0,0x0,0x0
Roddlevan,RoddlevanName,RoddlevanDesc,0x1B,Swordfighter,RoddlevanMug,0x00,NoAffinity,0x2C,1,0,3,3,3,3,0,4,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,80,30,50,30,30,5,20,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Oifey,OifeyName,OifeyDesc,0x1C,Paladin,OifeyMug,0x00,NoAffinity,0x02,1,0,7,8,7,8,3,8,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,100,40,50,30,30,10,40,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee4c,0x0,0x0,0x0,0x0
Tristan,TristanName,TristanDesc,0x1D,FreeKnight,TristanMug,0x00,NoAffinity,0x17,3,0,4,4,4,4,0,5,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,130,30,30,20,30,5,10,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee64,0x4,0x0,0x0,0x0
Dimna,DimnaName,DimnaDesc,0x1E,ArchKnight,DimnaMug,0x00,NoAffinity,0x0A,1,0,2,1,3,2,0,3,0,0x00,0x00,0x00,1,0x00,0x00,0x00,0x00,90,30,50,20,40,5,30,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee7c,0xc,0x0,0x0,0x0
Julia,JuliaName,JuliaDesc,0x1F,Shaman,JuliaMug,0x00,NoAffinity,0x0B,1,-6,3,1,4,0,4,5,0,0x00,0x00,0x00,0x00,DRank,0x00,ARank,0x00,90,100,20,30,10,50,30,0x0,0x0,0x0,0x0,0x0,IsFemale,0x88aee94,0x3,0x0,0x0,0x0
Fee,FeeName,FeeDesc,0x20,PegasusKnight,FeeMug,0x00,NoAffinity,0x25,2,4,3,3,5,2,1,9,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,95,25,40,75,40,15,30,0x0,0x0,0x0,0x0,0x0,IsFemale,0x88aecfc,0x3,0x0,0x0,0x0
Amid,AmidName,AmidDesc,0x21,WindMage,AmidMug,0x00,NoAffinity,0x0E,2,3,4,4,5,3,4,6,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,90,40,50,40,20,20,20,0x0,0x0,0x0,0x0,0x0,0x0,0x88aeeac,0xa,0x0,0x0,0x0
Johan,JohanName,JohanDesc,0x22,AxeKnight,JohanMug,0x00,NoAffinity,0x18,12,10,8,4,6,6,1,5,0,0x00,0x00,1,0x00,0x00,0x00,0x00,0x00,110,40,20,50,60,5,10,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed44,0xa,0x0,0x0,0x0
Johalva,JohalvaName,JohalvaDesc,0x23,AxeFighter,JohalvaMug,0x00,NoAffinity,0x2F,12,7,8,4,6,6,1,5,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,110,40,50,10,60,5,10,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Shanan,ShananName,ShananDesc,0x24,Swordmaster,ShananMug,0x00,NoAffinity,0x32,1,-2,6,7,8,6,1,10,0,SRank,0x00,0x00,0x00,0x00,0x00,0x00,0x00,120,30,80,20,40,5,20,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Daisy,DaisyName,DaisyDesc,0x25,Thief_F,DaisyMug,0x00,NoAffinity,0x26,1,-2,0,1,6,1,3,6,0,CRank,0x00,0x00,0x00,0x00,0x00,0x00,0x00,50,10,30,50,20,10,30,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x0,0x0,0x0
Jeanne,JeanneName,JeanneDesc,0x26,Troubadour,JeanneMug,0x00,NoAffinity,0x22,3,4,4,3,5,2,3,4,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,20,50,20,30,20,10,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x0,0x0,0x0
Aless,AlessName,AlessDesc,0x27,SocialKnight,AlessMug,0x00,NoAffinity,0x33,7,10,6,6,7,6,4,6,0,SRank,0x00,0x00,0x00,0x00,0x00,0x00,0x00,130,90,20,30,40,30,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Laylea,LayleaName,LayleaDesc,0x28,Dancer2,LayleaMug,0x00,NoAffinity,0x21,3,-2,1,0,6,0,1,4,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,80,70,45,45,25,20,30,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x0,0x0,0x0
Linda,LindaName,LindaDesc,0x29,ThunderMage_F,LindaMug,0x00,NoAffinity,0x0C,3,0,4,3,3,1,2,2,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,90,40,40,30,10,20,20,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x0,0x0,0x0
Asaello,AsaelloName,AsaelloDesc,0x2A,BowFighter,AsaelloMug,0x00,NoAffinity,0x30,9,6,5,5,5,5,1,3,0,0x00,0x00,0x00,ARank,0x00,0x00,0x00,0x00,90,40,10,20,30,5,60,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Hawk,HawkName,HawkDesc,0x2B,Sage,HawkMug,0x00,NoAffinity,0x38,4,3,7,6,8,6,5,4,0,0x00,0x00,0x00,0x00,0x00,0x00,DRank,0x00,60,20,20,50,20,10,20,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Hannibal,HannibalName,HannibalDesc,0x2C,General,HannibalMug,0x00,NoAffinity,0x23,10,20,10,10,6,10,3,7,9,ARank,0x00,0x00,1,0x00,0x00,0x00,0x00,60,50,10,10,30,5,10,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Sharlow,SharlowName,SharlowDesc,0x2D,Priest,SharlowMug,0x00,NoAffinity,0x27,1,-2,4,2,3,2,2,3,0,0x00,0x00,0x00,0x00,BRank,0x00,0x00,0x00,70,50,20,20,10,30,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Seliph,SeliphCharName,SeliphCharDesc,0x2E,Lord,SeliphMug,0x00,NoAffinity,0x2B,1,-6,0,1,3,0,0,7,0,ARank,0x00,0x00,0x00,0x00,0x00,0x00,0x00,140,55,60,35,45,30,45,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Altena,AltenaName,AltenaDesc,0x2F,DragonKnight_F,AltenaMug,0x00,NoAffinity,0x28,1,5,13,10,12,10,2,8,0,1,SRank,0x00,0x00,0x00,0x00,0x00,0x00,135,65,45,60,55,12,25,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x0,0x0,0x0
Hermina,HerminaName,HerminaDesc,0x30,PegasusKnight,HerminaMug,0x00,NoAffinity,0x1F,2,-7,3,2,4,2,2,3,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,30,20,50,20,5,50,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x0,0x0,0x0
Scathach,ScathachName,ScathachDesc,0x31,Swordfighter,ScathachMug,0x00,NoAffinity,0x16,1,6,2,3,0,4,1,5,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,110,60,60,55,40,20,55,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Febail,FebailName,FebailDesc,0x32,BowFighter,FebailMug,0x00,NoAffinity,0x15,9,6,7,5,6,4,5,6,0,0x00,0x00,0x00,ARank,0x00,0x00,0x00,0x00,77,91,70,79,57,68,80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Coirpre,CoirpreName,CoirpreDesc,0x33,Priest,CoirpreMug,0x00,NoAffinity,0x14,1,10,0,0,0,0,0,0,2,0x00,0x00,0x00,0x00,BRank,0x00,0x00,0x00,130,50,35,35,15,60,20,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Lester,LesterName,LesterDesc,0x34,ArchKnight,LesterMug,0x00,NoAffinity,0x24,1,-1,0,2,3,0,3,11,0,0x00,0x00,0x00,1,0x00,0x00,0x00,0x00,145,40,40,45,40,12,45,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Arthur,ArthurFE4Name,ArthurFE4Desc,0x35,Mage,ArthurMug,0x00,NoAffinity,0x2A,2,6,3,6,4,7,0,5,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,75,55,65,55,35,30,55,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Patty,PattyName,PattyDesc,0x36,Thief_F,PattyMug,0x00,NoAffinity,0x1E,1,-7,5,0,8,6,4,0,0,CRank,0x00,0x00,0x00,0x00,0x00,0x00,0x00,57,85,60,79,79,51,40,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x0,0x0,0x0
Larcei,LarceiName,LarceiDesc,0x37,Swordfighter_F,LarceiMug,0x00,NoAffinity,0x07,1,7,-2,4,4,1,0,4,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,80,65,70,50,40,30,50,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x0,0x0,0x0
Lana,LanaName,LanaDesc,0x38,Cleric,LanaMug,0x00,NoAffinity,0x3C,1,-1,6,2,3,0,3,11,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,170,60,50,60,30,35,60,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x0,0x0,0x0
Tine,TineName,TineDesc,0x39,Mage_F,TineMug,0x00,NoAffinity,0x3E,3,-7,4,0,6,5,4,0,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,57,85,60,79,45,51,50,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x0,0x0,0x0
Lene,LeneName,LeneDesc,0x3A,Dancer2,LeneMug,0x00,NoAffinity,0x00,3,-7,3,0,2,3,4,0,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,51,57,40,74,51,57,30,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x0,0x0,0x0
0x3B Lyon's Summon,0x2f1,0x33d,0x3b,0x7,EndMug,0x7,DarkAffinity,0x25,1,0,3,2,3,0,0,20,0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,60,45,30,0,0,60,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3C <Summon>,0x26d,0x32e,0x3c,0x31,0x0,0x0,NoAffinity,0x0,18,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,CRank,50,30,35,32,8,40,45,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3D <'Summonern'>,0x26c,0x32e,0x3d,0x31,0x0,0x0,NoAffinity,0x0,9,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,CRank,50,30,35,32,8,40,45,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3E Knoll's Summon,0x2f1,0x33d,0x3e,0x7,0x0,0x7,DarkAffinity,0x21,1,0,2,1,2,0,0,10,0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,50,50,40,0,0,55,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3F Ewan's Summon,0x2f1,0x33d,0x3f,0x7,0x0,0x7,DarkAffinity,0x1a,1,0,1,2,1,0,0,0,0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,70,40,20,0,0,40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x40 Lyon (Ch 17),LyonName,LyonDesc,0x40,Necromancer,Lyon2Mug,0x0,IceAffinity,0x0,14,26,13,9,6,14,11,4,0,NoRank,NoRank,NoRank,NoRank,ARank,NoRank,NoRank,SRank,85,50,55,55,45,55,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x41 Morva (Ch 20),MorvaName,MorvaDesc,0x41,Manakete_2,0x0,0x1,WindAffinity,0x0,18,42,16,10,11,3,7,7,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,150,100,90,70,160,80,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x42 Orson (Ch 5x),OrsonName,OrsonDesc,0x42,Paladin,Orson2Mug,0x0,DarkAffinity,0x0,3,11,8,9,4,5,4,4,1,ARank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,80,55,45,40,45,30,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x43 Valter (Ch 15),ValterName,ValterDesc,0x43,WyvernKnight,Valter2Mug,0x0,IceAffinity,0x0,13,25,12,10,9,6,11,3,1,NoRank,SRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,80,40,55,50,20,20,15,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x44 Selena (Ch 10B & 13B),SelenaName,SelenaDesc,0x44,MageKnight_F,Selena2Mug,0x0,ThunderAffinity,0x0,11,19,10,8,10,8,11,10,0,NoRank,NoRank,NoRank,NoRank,BRank,ARank,NoRank,NoRank,85,40,55,40,20,30,25,0x0,0x0,0x0,0x0,0x0,IsBoss|IsFemale,0x0,0x0,0x0,0x0,0x0
0x45 Valter (Prologue),0x237,0x292,0x45,0x23,0x42,0x0,IceAffinity,0x0,5,14,6,7,6,3,5,2,1,NoRank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x46 Breguet (Ch 1),0x239,0x294,0x46,0x9,0x31,0x0,ThunderAffinity,0x0,4,3,3,0,1,0,0,2,0,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x47 Bone (Ch 2),0x23a,0x295,0x47,0x41,0x32,0x0,IceAffinity,0x0,4,3,1,3,0,1,0,0,0,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x48 Bazba (Ch 3),0x23b,0x296,0x48,0x41,0x33,0x0,FireAffinity,0x0,6,5,3,4,2,2,2,1,0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x49 Entombed (Ch 4),0x255,0x2b1,0x49,0x53,0x0,0x4,DarkAffinity,0x0,6,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4A Saar (Ch 5),0x23c,0x297,0x4a,0x9,0x34,0x0,AnimaAffinity,0x0,8,13,6,5,3,2,3,4,0,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4B Novala (Ch 6),0x23d,0x298,0x4b,0x2d,0x36,0x0,FireAffinity,0x0,10,12,8,7,4,3,5,7,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,CRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4C Murray (Ch 7),0x23e,0x299,0x4c,0x5,0x37,0x0,LightAffinity,0x0,12,12,3,7,5,1,6,7,0,CRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4D Tirado (Ch 8),0x23f,0x29a,0x4d,0xb,0x38,0x0,AnimaAffinity,0x0,1,19,5,4,2,1,5,2,0,BRank,ARank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4E Binks (Ch 9A),0x240,0x29b,0x4e,0x40,0x39,0x0,DarkAffinity,0x0,5,14,8,5,2,7,8,3,0,NoRank,NoRank,BRank,CRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4F Pablo (Ch 10A),0x241,0x29c,0x4f,0x27,0x3a,0x0,IceAffinity,0x0,7,16,8,5,8,2,12,9,0,NoRank,NoRank,NoRank,NoRank,CRank,BRank,CRank,NoRank,85,50,25,35,15,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x50 Maelduin (Ch 12A),0x255,0x2b1,0x50,0x5e,0x0,0x4,DarkAffinity,0x0,9,15,6,6,2,4,8,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x51 Aias (Ch 13A),0x242,0x29d,0x51,0x35,0x3b,0x0,AnimaAffinity,0x0,10,25,10,7,4,8,9,11,1,ARank,BRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,35,35,25,15,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x52 Carlyle (Ch 14A),0x243,0x29e,0x52,0x15,0x3c,0x0,FireAffinity,0x0,11,20,6,6,8,4,8,8,0,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,65,10,10,20,20,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
