,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timerra,,,,,,,,,,,,,,,,1,Berserker,46,25,3,19,13,11,7,11,11,5,Panette,75,45,10,40,25,30,15,20,15
Panette,,,,,,,,,,,,,,,,1,Wolf Knight,36,15,10,21,21,12,12,14,9,6,Merrin,55,25,25,40,50,30,30,25,10
Merrin,,,,,,,,,,,,,,,,19,Wing Tamer,27,5,12,21,19,6,23,17,5,5,Hortensia,40,20,20,35,50,25,55,50,0
Hortensia,,,,,,,,,,,,,,,,15,Dancer,33,12,4,15,16,10,10,11,8,5,Seadall,55,25,15,25,50,25,25,35,10
Seadall,,,,,,,,,,,,,,,,3,Wyvern Knight,44,16,7,19,21,15,11,8,8,6,Rosado,75,45,25,40,45,30,30,20,5
Rosado,,,,,,,,,,,,,,,,3,Hero,40,17,2,18,20,20,12,13,9,5,Goldmary,65,30,5,25,25,55,25,25,5
Goldmary,,,,,,,,,,,,,,,,5,Sage,38,8,19,21,19,12,21,8,10,5,Lindon,65,25,25,25,40,25,40,15,10
Lindon,,,,,,,,,,,,,,,,7,Warrior,51,24,2,23,19,19,9,15,15,5,Saphir,80,35,0,25,30,30,5,20,10
Saphir,,,,,,,,,,,,,,,,35,Fell Child,35,20,26,24,23,17,29,18,7,5,Veyle,40,25,45,35,30,25,35,20,0
Veyle,,,,,,,,,,,,,,,,12,Royal Knight,51,21,23,25,22,26,24,16,12,6,Mauvier,70,35,40,40,35,50,45,15,15
Mauvier,,,,,,,,,,,,,,,,5,Axe Fighter,29,10,2,9,7,4,5,3,7,4,Anna,55,15,50,50,50,20,35,45,5
Anna,,,,,,,,,,,,,,,,1,Martial Monk,19,4,5,10,7,4,8,3,3,4,Jean,50,20,20,35,40,25,20,25,5
Jean,,,,,,,,,,,,,,,,20,Fell Child,35,14,12,17,19,14,15,16,8,5,Nel,55,30,25,40,45,30,35,30,10
Nel,,,,,,,,,,,,,,,,20,Fell Child,39,19,7,17,16,20,11,12,9,5,Rafal,70,40,10,40,35,45,20,10,10
Rafal,,,,,,,,,,,,,,,,20,Melusine,38,17,18,16,20,15,19,7,9,6,Zelestia,60,35,35,35,50,30,35,20,5
Zelestia,,,,,,,,,,,,,,,,1,Sage,35,10,25,13,13,13,25,9,8,5,Gregory,55,30,50,20,25,35,50,25,5
Gregory,,,,,,,,,,,,,,,,1,General,46,24,6,12,7,27,9,9,13,4,Madeline,75,50,20,15,15,55,25,25,10
Madeline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
