0x5b8,Flag 1 - 8,Flag 9 - 16,Flag 17 - 24,Flag 25 - 32,Flag 33 - 40,Flag 41 - 48,Flag 49 - 56,Flag 57 - 63,Character Pointer,Face Pointer,Asset Pointer,Character Name Pointer,Character Description Pointer,Attack Stance Pointer,Defense Stance Pointer,Character ID,Support Route,Army ID,Replace this Character ID from GameData,Parent,Class 1,Class 2,Support ID,Level,Internal level,Enemy/Ally Flag,##UNKNOWN##,Base HP,Base Strength,Base Skill,Base Speed,Base Luck,Base Defense,Base Resistance,Base Mov,HP Cap,Strength Cap,Skill Cap,Speed Cap,Luck Cap,Defense Cap,Resistance Cap,Mov Cap,HP Growth,Strength Growth,Skill Growth,Speed Growth,Luck Growth,Defense Growth,Resistance Growth,Mov Growth,##UNKNOWN##,Sword/Katana Rank,Lance/Naginata Rank,Axe/Club Rank,Shuriken/Dagger Rank,Bow/Yumi Rank,Tome/Scroll Rank,Staff/Rod Rank,Stone Rank,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill Flags 1 - 8,Skill Flags 9 - 16,Personal Skill (Birthright),Personal Skill (Conquest),Personal Skill (Revelation),Day of birth,Month of birth,Reclass option 1,Reclass Option 2,Parent ID,Child ID,Support Index (parent - child and sibling support),Level Cap / 10,Amiibo,Combat Music Pointer,Enemy Voice Pointer,Amiibo weapon 1,Amiibo weapon 2,unk,unk,unk,unk,unk
Python,0x0,0x0,0x0,0x0,0x19,0x1c,0x1,0x0,0x13706,0x13714,0x1315e,0x13725,0x13732,0x1350e,0x1010300,0x6666,0xe6,0x3e,0x19,0x2,0x4b00,0x32,0x0,0,0,50,0x0,24,10,3,4,2,5,4,0,52,40,39,42,39,40,40,40,45,40,25,55,20,25,4,0,0x1374200000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x30c6,1,0,0x30c6,0x1,0x0,0x0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Luthier,0x0,0x0,0x0,0x0,0x26,0x1c,0x1,0x0,0x13749,0x13757,0x1316b,0x13764,0x13771,0x1350e,0x1010700,0xcccd,0xc,0x3f,0x16,0x2,0x4b00,0x32,0x0,0,0,50,0x0,28,12,9,7,2,5,8,0,52,38,43,40,40,39,40,40,50,30,75,40,50,35,2,0,0x1378100000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2dba,1,0,0x2dba,0x1,0x3787,0x1,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Mathilda,0x0,0x0,0x0,0x0,0x33,0x1c,0x1,0x0,0x13794,0x137a2,0x13178,0x137b3,0x137c0,0x1350e,0x1010101,0xcccd,0xc,0x3f,0x1c,0x2,0x4b00,0x32,0x0,0,0,100,0x0,26,12,14,12,13,7,10,0,52,39,40,41,41,39,40,40,40,50,45,55,45,40,4,0,0x137d000000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x30c6,1,0,0x30d4,0x1,0x0,0x0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Delthea,0x0,0x0,0x0,0x0,0x40,0x1c,0x1,0x0,0x137d9,0x137e7,0x13185,0x137f4,0x13801,0x1350e,0x1010301,0x6666,0xe6,0x3e,0xd,0x2,0x4b00,0x32,0x0,0,0,44,0x1,22,11,8,10,15,3,15,0,52,43,38,41,40,37,40,40,30,70,35,55,40,20,4,0,0x1381100000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2dc8,1,0,0x2dd6,0x1,0x3817,0x1,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Tatiana,0x0,0x0,0x0,0x0,0x4d,0x1c,0x1,0x0,0x13826,0x13834,0x13192,0x1383d,0x1384a,0x1350e,0x1010101,0x0,0x0,0x3f,0x15,0x2,0x4b00,0x32,0x0,0,0,100,0x0,28,14,12,10,2,3,18,0,52,42,40,40,37,41,40,40,30,50,45,40,35,30,4,0,0x1385a00000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x30c6,1,0,0x2de8,0x1,0x0,0x0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Zeke,0x0,0x0,0x0,0x0,0x5a,0x1c,0x1,0x0,0x13860,0x1386c,0x1319f,0x13881,0x1388c,0x1350e,0x1010300,0x999a,0x19,0x3f,0x1d,0x2,0x4b00,0x32,0x0,0,0,100,0x0,40,20,13,14,4,14,6,0,52,41,40,41,40,38,40,40,60,45,55,55,40,45,1,0,0x1389a00000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x30c6,1,0,0x30c6,0x1,0x0,0x0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Mycen,0x0,0x0,0x0,0x0,0x65,0x1c,0x1,0x0,0x1389f,0x1386c,0x131aa,0x138ad,0x138ba,0x1350e,0x1010700,0x999a,0x19,0x3f,0x41,0x2,0x4b00,0x32,0x0,0,0,100,0x0,44,22,14,11,3,18,8,0,52,41,41,39,39,41,40,40,20,10,10,10,5,10,3,0,0x1356f000138ca00000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x30c6,1,0,0x30c6,0x1,0x0,0x0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Faye,0x0,0x0,0x0,0x0,0x72,0x1c,0x1,0x0,0x138d1,0x138dd,0x131b7,0x138e8,0x138f3,0x1350e,0x1010101,0xcccd,0xcc,0x3e,0x12,0x2,0x4b00,0x32,0x0,0,0,25,0x0,19,8,1,2,6,3,6,0,52,41,39,40,39,41,40,40,40,40,30,30,30,40,3,0,0x1390100000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2df6,1,0,0x2e06,0x1,0x3905,0x1,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Celica,0x0,0x0,0x0,0x0,0x7d,0x1c,0x1,0x0,0x13912,0x1391e,0x131c2,0x13929,0x13934,0x13942,0x2010101,0x999a,0x19,0x3f,0x11,0x2,0x4b00,0x32,0x0,0,0,0,0x0,20,8,6,6,8,4,7,0,52,42,40,40,39,39,40,40,50,60,50,50,45,35,4,0,0x13957000135200001394f00000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2e16,1,0,0x2e16,0x1,0x3968,0x1,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Mae,0x0,0x0,0x0,0x0,0x88,0x1c,0x1,0x0,0x13977,0x137e7,0x131cd,0x13981,0x1398a,0x13942,0x2010101,0x0,0x0,0x3f,0x11,0x2,0x4b00,0x32,0x0,0,0,25,0x0,20,9,1,7,5,2,10,0,52,42,40,40,40,38,40,40,35,60,35,40,40,30,2,0,0x1356f0001399600000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2e22,1,0,0x2e2c,0x1,0x399a,0x1,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Boey,0x0,0x0,0x0,0x0,0x91,0x1c,0x1,0x0,0x139af,0x13757,0x131d6,0x139bb,0x139c6,0x13942,0x2010100,0xcccd,0xc,0x3f,0x10,0x2,0x4b00,0x32,0x0,0,0,25,0x0,22,8,2,4,9,4,7,0,52,40,41,40,39,40,40,40,55,45,55,30,25,45,1,0,0x1356f000139d400000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2e3a,1,0,0x2e3a,0x1,0x39da,0x1,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Genny,0x0,0x0,0x0,0x0,0x9c,0x1c,0x1,0x0,0x139e5,0x13620,0x131e1,0x139f3,0x13a00,0x13942,0x2010101,0x6666,0xe6,0x3e,0xf,0x2,0x4b00,0x32,0x0,0,0,25,0x0,18,7,2,5,7,1,13,0,52,41,41,39,40,39,40,40,30,60,50,30,35,20,5,0,0x13a1000000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x30c6,1,0,0x2e46,0x1,0x3a16,0x1,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Saber,0x0,0x0,0x0,0x0,0xa9,0x1c,0x1,0x0,0x13a27,0x13a35,0x131ee,0x13a40,0x13a4d,0x13942,0x2010100,0xcccd,0xc,0x3f,0x22,0x2,0x4b00,0x32,0x0,0,0,50,0x0,22,9,9,10,6,4,6,0,52,40,40,40,39,41,40,40,60,35,30,35,25,45,0,0,0x1356f00013a5d00000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2e54,1,0,0x2e54,0x1,0x0,0x0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Valbar,0x0,0x0,0x0,0x0,0xb6,0x1c,0x1,0x0,0x13a63,0x13a6f,0x131fb,0x13a7e,0x13a89,0x13942,0x2010100,0x6666,0x26,0x3f,0x1f,0x2,0x4b00,0x32,0x0,0,0,75,0x0,30,14,5,2,1,12,0,0,52,41,40,38,38,42,40,40,60,40,40,30,25,50,1,0,0x13a9700000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x30c6,1,0,0x30c6,0x1,0x0,0x0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Kamui,0x0,0x0,0x0,0x0,0xc1,0x1c,0x1,0x0,0x13a9d,0x13a35,0x13206,0x13aa9,0x13ab4,0x13942,0x2010300,0x0,0x0,0x3f,0x1c,0x2,0x4b00,0x32,0x0,0,0,75,0x0,24,10,5,8,2,6,2,0,52,41,39,41,39,40,40,40,50,40,30,40,25,30,0,0,0x13ac200000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2e62,1,0,0x2e62,0x1,0x0,0x0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Leon,0x0,0x0,0x0,0x0,0xcc,0x1c,0x1,0x0,0x13ac8,0x13714,0x13211,0x13ad2,0x13adb,0x13942,0x2010400,0x6666,0xe6,0x3e,0x18,0x2,0x4b00,0x32,0x0,0,0,75,0x0,23,11,5,6,5,4,1,0,52,39,42,40,40,39,40,40,45,30,50,30,30,30,4,0,0x13ae700000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x30c6,1,0,0x30c6,0x1,0x3aeb,0x1,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Palla,0x0,0x0,0x0,0x0,0xd5,0x1c,0x1,0x0,0x13af6,0x13659,0x1321a,0x13b02,0x13b0d,0x13942,0x2010801,0xcccd,0xc,0x3f,0x17,0x2,0x4b00,0x32,0x0,0,0,75,0x0,28,12,9,10,4,6,5,0,52,41,41,39,39,40,40,40,50,60,50,30,25,45,1,0,0x13b2100013b1b00000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x30c6,1,0,0x30d4,0x1,0x3b34,0x1,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Catria,0x0,0x0,0x0,0x0,0xe0,0x1c,0x1,0x0,0x13b3f,0x13659,0x13225,0x13b4d,0x13b5a,0x13942,0x2010501,0x0,0x0,0x3f,0x14,0x2,0x4b00,0x32,0x0,0,0,75,0x0,24,11,12,12,12,5,9,0,52,40,41,41,39,39,40,40,40,40,45,55,30,35,2,0,0x13b2100013b6a00000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x30c6,1,0,0x30d4,0x1,0x3b71,0x1,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Atlas,0x0,0x0,0x0,0x0,0xed,0x1c,0x1,0x0,0x13b80,0x134b0,0x13232,0x13b8e,0x13b9b,0x13942,0x2010a00,0x999a,0x19,0x3f,0x14,0x2,0x4b00,0x32,0x0,0,0,25,0x0,30,14,3,3,4,5,4,0,52,42,40,39,40,39,40,40,45,50,30,25,25,25,0,0,0x13bab00000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2e6e,1,0,0x2e6e,0x1,0x0,0x0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Jesse,0x0,0x0,0x0,0x0,0xfa,0x1c,0x1,0x0,0x13bb1,0x13a35,0x1323f,0x13bbf,0x13bcc,0x13942,0x2010600,0x6666,0xe6,0x3e,0x18,0x2,0x4b00,0x32,0x0,0,0,50,0x0,28,11,10,12,9,5,7,0,52,39,40,40,43,39,40,40,40,35,40,45,55,30,0,0,0x13bdc00000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2e7c,1,0,0x2e7c,0x1,0x0,0x0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Sonya,0x0,0x0,0x0,0x0,0x7,0x1d,0x1,0x0,0x13be2,0x137e7,0x1324c,0x13bee,0x13bf9,0x13942,0x2010501,0x6666,0xe6,0x3e,0x19,0x2,0x4b00,0x32,0x0,0,0,100,0x0,24,13,11,12,4,5,12,0,52,41,42,39,38,40,40,40,40,45,50,35,30,40,4,0,0x13c0700000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2e8a,1,0,0x2e96,0x1,0x3c0d,0x1,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Deen,0x0,0x0,0x0,0x0,0x12,0x1d,0x1,0x0,0x13c18,0x13c26,0x13257,0x13c31,0x13c3e,0x13942,0x2010500,0x999a,0x19,0x3f,0x1e,0x2,0x4b00,0x32,0x0,0,0,100,0x0,32,13,17,17,6,9,4,0,52,41,40,39,38,41,40,40,60,45,35,40,15,40,0,0,0x13c4e00000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2ea6,1,0,0x2ea6,0x1,0x3c53,0x1,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Est,0x0,0x0,0x0,0x0,0x1f,0x1d,0x1,0x0,0x13c60,0x13659,0x13264,0x13c6c,0x13c77,0x13942,0x2010301,0xcccd,0xcc,0x3e,0x10,0x2,0x4b00,0x32,0x0,0,0,50,0x0,20,9,5,11,5,4,12,0,52,41,40,39,41,39,40,40,35,55,50,40,55,50,3,0,0x13b2100013c8500000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x30c6,1,0,0x30d4,0x1,0x0,0x0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Nomah,0x0,0x0,0x0,0x0,0x2a,0x1d,0x1,0x0,0x13c89,0x13c95,0x1326f,0x13ca0,0x13cab,0x13942,0x2010700,0x0,0x0,0x3f,0x47,0x2,0x4b00,0x32,0x0,0,0,100,0x0,28,12,16,8,1,6,14,0,52,42,40,40,39,39,40,40,15,20,25,15,10,10,1,0,0x13cb900000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2eb4,1,0,0x2eb4,0x1,0x0,0x0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Conrad,0x0,0x0,0x0,0x0,0x35,0x1d,0x1,0x0,0x13cbf,0x13ccf,0x13ce0,0x13cef,0x13cfe,0x13942,0x2010700,0x6666,0xe6,0x3e,0x15,0x2,0x4b00,0x32,0x0,0,0,100,0x0,32,15,18,16,8,10,12,0,52,37,43,39,39,42,40,40,50,30,60,45,40,50,8,0,0x1356f00013d1000000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2eb4,1,0,0x2eb4,0x1,0x3d17,0x1,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
BrigandBoss,0x0,0x0,0x0,0x0,0x44,0x1d,0x1,0x0,0x13d24,0x13d30,0x13d3b,0x13d46,0x13d51,0x13d5f,0x200,0x0,0x0,0x3f,0x26,0x2,0x4b00,0x32,0x0,0,0,0,0x1900,29,8,1,2,0,2,0,0,52,40,40,40,40,40,40,40,0,0,0,0,0,0,0,0,0x13d7600013d68,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0x0,0x0,0x0,0x0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Desaix,0x0,0x0,0x0,0x0,0x4f,0x1d,0x1,0x0,0x13d7c,0x13d88,0x13d95,0x13da0,0x13dab,0x13db9,0x100,0x0,0x0,0x3f,0x2b,0x2,0x4b00,0x32,0x0,0,0,0,0x1f400,42,0,0,0,0,0,0,0,52,40,40,40,40,40,40,40,0,0,0,0,0,0,0,0,0x13dda00013dcc,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0x0,0x0,0x0,0x0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Slayde,0x0,0x0,0x0,0x0,0x5a,0x1d,0x1,0x0,0x13de0,0x13ccf,0x13df0,0x13dff,0x13e0e,0x13db9,0x100,0x0,0x0,0x3f,0x20,0x2,0x4b00,0x32,0x0,0,0,0,0x3200,0,0,0,0,0,0,0,0,52,40,40,40,40,40,40,40,0,0,0,0,0,0,0,0,0x13e2800013e2000013dcc,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0x0,0x0,0x0,0x0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Barth,0x0,0x0,0x0,0x0,0x69,0x1d,0x1,0x0,0x13e35,0x13d30,0x13e41,0x13e4c,0x13e57,0x13e65,0x100,0x0,0x0,0x3f,0x23,0x2,0x4b00,0x32,0x0,0,0,0,0x1900,0,0,0,0,0,0,0,0,52,40,40,40,40,40,40,40,0,0,0,0,0,0,0,0,0x13d7600013d68,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0x0,0x0,0x0,0x0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Zakson,0x0,0x0,0x0,0x0,0x74,0x1d,0x1,0x0,0x13e6e,0x13a6f,0x13e7c,0x13e89,0x13e96,0x13db9,0x100,0x0,0x0,0x3f,0x1e,0x2,0x4b00,0x32,0x0,0,0,0,0x3200,0,0,0,0,0,0,0,0,52,40,40,40,40,40,40,40,0,0,0,0,0,0,0,0,0x13ea600013d68,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0x0,0x0,0x0,0x0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Desaix2,0x0,0x0,0x0,0x0,0x81,0x1d,0x1,0x0,0x13d7c,0x13d88,0x13d95,0x13da0,0x13dab,0x13db9,0x100,0x0,0x0,0x3f,0x1e,0x2,0x4b00,0x32,0x0,0,0,0,0x6400,42,0,0,0,0,0,0,0,52,40,40,40,40,40,40,40,0,0,0,0,0,0,0,0,0x13dda00013dcc,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0x0,0x0,0x0,0x0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
