0xdf0,Flag 1 - 8,Flag 9 - 16,Flag 17 - 24,Flag 25 - 32,Flag 33 - 40,Flag 41 - 48,Flag 49 - 56,Flag 57 - 63,Character Pointer,Face Pointer,Asset Pointer,Character Name Pointer,Character Description Pointer,Attack Stance Pointer,Defense Stance Pointer,Character ID,Support Route,Army ID,Replace this Character ID from GameData,Parent,Class 1,Class 2,Support ID,Level,Internal level,Enemy/Ally Flag,##UNKNOWN##,Base HP,Base Strength,Base Magic,Base Skill,Base Speed,Base Luck,Base Defense,Base Resistance,HP Growth,Strength Growth,Magic Growth,Skill Growth,Speed Growth,Luck Growth,Defense Growth,Resistance Growth,HP Modifier,Strength Modifier,Magic Modifer,Skill Modifier,Speed Modifier,Luck Modifier,Defense Modifier,Resistance Modifier,##UNKNOWN##,Sword/Katana Rank,Lance/Naginata Rank,Axe/Club Rank,Shuriken/Dagger Rank,Bow/Yumi Rank,Tome/Scroll Rank,Staff/Rod Rank,Stone Rank,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill Flags 1 - 8,Skill Flags 9 - 16,Personal Skill (Birthright),Personal Skill (Conquest),Personal Skill (Revelation),Day of birth,Month of birth,Reclass option 1,Reclass Option 2,Parent ID,Child ID,Support Index (parent - child and sibling support),Level Cap / 10,Amiibo,Combat Music Pointer,Enemy Voice Pointer,Amiibo weapon 1,Amiibo weapon 2,##UNKNOWN##
Hana,0x1,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x265c4,0x2b2b7,0x2b2c4,0x2b2d1,0x2b2df,0xa59c,0xa790,0xa,0x5,0x2,0x0,0x0,0x22,0x20,0x1a,4,-1,1,0x0,3,3,0,4,3,2,3,6,25,55,10,45,55,25,20,30,0,1,0,1,2,-1,-3,1,0x0,21,0,0,0,0,0,0,0,0x39,0x0,0x0,0x0,0x0,0xff,0x7f,0xa8,0xa8,0xa8,3,28,0x36,0x0,0x9,0xffff,2569,0,0,0x0,0x0,0x0,0x0,0x0
Subaki,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x265d1,0x2b2ef,0x2b2fa,0x2b305,0x2b311,0xa5c4,0xa7b8,0xb,0x5,0x2,0x0,0x0,0x3b,0x39,0x8,5,-1,1,0x0,6,5,0,8,3,3,7,4,55,30,20,50,20,25,45,5,0,-1,0,2,-2,-1,3,-1,0x0,0,21,0,0,0,0,0,0,0x3a,0x0,0x0,0x0,0x0,0xff,0x7f,0xa9,0xa9,0xa9,2,7,0x21,0x0,0xa,0xffff,2611,0,0,0x0,0x0,0x0,0x0,0x0
Silas,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x265dc,0x2b31f,0x2b32c,0x2b339,0x2b347,0xa54c,0xa7e0,0xc,0x7,0x2,0x0,0x0,0x9,0x7,0xb,6,-1,1,0x0,5,5,0,4,3,4,5,2,40,45,5,50,40,40,40,25,0,1,0,2,0,-1,0,-1,0x0,21,1,0,0,0,0,0,0,0x33,0x0,0x0,0x0,0x0,0xff,0x7f,0xaa,0xaa,0xaa,11,1,0x17,0x0,0xb,0xffff,2620,0,0,0x0,0x0,0x0,0x0,0x0
Saizo,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x265e9,0x2b357,0x2b364,0x2b371,0x2b37f,0xa5d8,0xa808,0xd,0x5,0x2,0x0,0x0,0x4b,0x49,0x4,7,-1,1,0x0,7,8,3,6,3,8,6,4,40,50,45,60,30,55,45,10,0,1,0,3,-2,0,1,-2,0x0,0,0,0,51,0,0,0,0,0x70,0x0,0x0,0x0,0x0,0xff,0x7f,0xab,0xab,0xab,10,2,0x21,0x0,0xc,0xffff,2629,0,0,0x0,0x0,0x0,0x0,0x0
Orochi,0x1,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x265f6,0x2b38f,0x2b39a,0x2b3a5,0x2b3b1,0xa5ec,0xa830,0xe,0x5,0x2,0x0,0x0,0x32,0x34,0x18,5,-1,1,0x0,5,5,5,6,1,5,4,7,35,65,65,50,15,35,25,45,0,0,3,2,-2,-1,-2,1,0x0,0,0,0,0,0,21,0,0,0x3,0x0,0x0,0x0,0x0,0xff,0x7f,0xac,0xac,0xac,6,19,0x50,0x0,0xd,0xffff,2638,0,1,0x0,0x0,0x0,0x0,0x0
Hinoka,0x1,0x0,0x0,0x0,0x8,0x40,0x0,0x0,0x26601,0x2b3bf,0x2b3ca,0x2b3d5,0x2b3e1,0xa54c,0xa858,0xf,0x5,0x2,0x0,0x0,0x3c,0x3a,0x15,8,-1,1,0x0,7,6,4,8,9,8,7,9,45,45,15,40,45,40,35,40,0,1,-1,-1,1,0,-1,2,0x0,0,51,0,0,0,0,0,0,0x3a,0x0,0x0,0x0,0x0,0xff,0x7f,0xad,0xad,0xad,8,18,0x2e,0x0,0xe,0xffff,2680,0,0,0x0,0x0,0x0,0x0,0x0
Azama,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x2660c,0x2b3ef,0x2b3fa,0x2b405,0x2b411,0xa574,0xa880,0x10,0x5,0x2,0x0,0x0,0x35,0x37,0x7,7,-1,1,0x0,8,9,4,4,5,8,8,3,55,50,20,40,45,40,40,20,0,2,-3,0,1,0,1,0,0x0,0,0,0,0,0,0,21,0,0x24,0x0,0x0,0x0,0x0,0xff,0x7f,0xae,0xae,0xae,9,8,0x4f,0x0,0xf,0xffff,2716,0,0,0x0,0x0,0x0,0x0,0x0
Setsuna,0x1,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x26617,0x2b41f,0x2b42a,0x2b435,0x2b441,0xa600,0xa8a8,0x11,0x5,0x2,0x0,0x0,0x40,0x42,0x1b,3,-1,1,0x0,2,3,0,2,5,4,1,2,30,20,0,30,60,30,15,40,0,0,0,1,3,-1,-1,-1,0x0,0,0,0,0,21,0,0,0,0x4,0x0,0x0,0x0,0x0,0xff,0x7f,0xaf,0xaf,0xaf,5,20,0x4c,0x0,0x10,0xffff,2725,0,0,0x0,0x0,0x0,0x0,0x0
Hayato,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x26622,0x2b44f,0x2b45c,0x2b469,0x2b477,0xa614,0xa8d0,0x12,0x5,0x2,0x0,0x0,0x31,0x33,0x9,1,-1,1,0x0,1,1,0,0,1,7,3,2,50,40,40,30,45,60,40,20,0,0,1,-1,2,1,-1,-1,0x0,0,0,0,0,0,1,0,0,0x3,0x0,0x0,0x0,0x0,0xff,0x7f,0xb0,0xb0,0xb0,9,19,0x27,0x0,0x11,0xffff,2767,0,0,0x0,0x0,0x0,0x0,0x0
Oboro,0x1,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x2662f,0x2b487,0x2b492,0x2b49d,0x2b4a9,0xa54c,0xa8f8,0x13,0x5,0x2,0x0,0x0,0x2e,0x2c,0x1c,10,-1,1,0x0,8,7,0,5,6,9,8,6,30,40,20,40,40,40,40,30,0,1,-1,1,1,-1,1,-1,0x0,0,51,0,0,0,0,0,0,0xe,0x2f,0x0,0x0,0x0,0xff,0x7f,0xb1,0xb1,0xb1,11,28,0x50,0x0,0x12,0xffff,2776,0,0,0x0,0x0,0x0,0x0,0x0
Hinata,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x2663a,0x2b4b7,0x2b4c2,0x2b4cd,0x2b4d9,0xa54c,0xa920,0x14,0x5,0x2,0x0,0x0,0x21,0x1f,0x6,10,-1,1,0x0,9,7,0,4,6,7,9,1,55,35,0,25,15,45,45,15,0,1,0,-1,-2,0,2,0,0x0,51,0,0,0,0,0,0,0,0x39,0x27,0x0,0x0,0x0,0xff,0x7f,0xb2,0xb2,0xb2,5,10,0x27,0x0,0x13,0xffff,2818,0,0,0x0,0x0,0x0,0x0,0x0
Takumi,0x0,0x0,0x0,0x40,0x8,0x40,0x0,0x0,0x26645,0x2b4e7,0x2b4f2,0x2b4fd,0x2b509,0xa560,0xa948,0x15,0x5,0x2,0x0,0x0,0x3f,0x41,0x3,11,-1,1,0x0,9,8,0,10,6,11,6,3,50,35,0,60,40,45,35,20,0,1,0,3,-2,1,0,-2,0x0,0,0,0,0,51,0,0,0,0x4,0x31,0x0,0x0,0x0,0xff,0x7f,0xb3,0xb3,0xb3,12,14,0x2d,0x0,0x14,0xffff,2827,0,0,0x0,0x0,0x0,0x0,0x0
Kagero,0x1,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x26650,0x2b517,0x2b524,0x2b531,0x2b53f,0xa588,0xa970,0x16,0x5,0x2,0x0,0x0,0x4c,0x4a,0x19,10,-1,1,0x0,6,12,0,2,4,6,6,7,30,65,0,20,50,30,25,40,0,3,0,-1,-1,0,-1,1,0x0,0,0,0,51,0,0,0,0,0x70,0x65,0x0,0x0,0x0,0xff,0x7f,0xb4,0xb4,0xb4,7,26,0x32,0x0,0x15,0xffff,2836,0,1,0x0,0x0,0x0,0x0,0x0
Reina,0x1,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x2665d,0x2b54f,0x2b55c,0x2b569,0x2b577,0xa59c,0xa998,0x17,0x5,0x2,0x0,0x0,0x3e,0x3c,0x43,1,15,1,0x0,11,14,3,7,13,10,6,6,40,45,5,20,45,10,20,10,0,2,0,0,2,-1,-2,-1,0x0,0,51,0,0,21,0,0,0,0x3a,0x5d,0x0,0x0,0x0,0xff,0x7f,0xb5,0xb5,0xb5,11,7,0x32,0x4c,0x16,0xffff,2878,0,0,0x0,0x0,0x0,0x0,0x0
Kaden,0x0,0x0,0x0,0x1,0x0,0x40,0x0,0x0,0x2666a,0x2b587,0x2b592,0x2b59d,0x2b5a9,0xa5c4,0xa9c0,0x18,0x5,0x2,0x0,0x0,0x63,0x65,0x5,14,-1,1,0x0,14,10,0,6,11,10,8,10,45,40,10,25,45,50,35,40,0,1,0,-3,2,1,-2,2,0x0,0,0,0,0,0,0,0,51,0x35,0x28,0x0,0x0,0x0,0xff,0x7f,0xb6,0xb6,0xb6,7,12,0x31,0x0,0x17,0xffff,2881,0,0,0x0,0x0,0x0,0x0,0x0
Ryoma,0x0,0x0,0x0,0x80,0x8,0x40,0x0,0x0,0x26675,0x2b5b7,0x2b5c4,0x2b5d1,0x2b5df,0xa600,0xa9e8,0x19,0x5,0x2,0x0,0x0,0x1f,0x21,0x0,4,-1,1,0x0,18,14,0,11,13,16,11,8,50,45,0,50,45,40,35,25,0,1,0,2,1,1,-2,-2,0x0,96,0,0,0,0,0,0,0,0x39,0x27,0x0,0x0,0x0,0xff,0x7f,0xb7,0xb7,0xb7,5,1,0x3b,0x0,0x18,0xffff,2890,0,0,0x0,0x0,0x0,0x0,0x0
Scarlet,0x1,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x26682,0x2b5ef,0x2b5fe,0x2b60d,0x2b61d,0xa54c,0xaa10,0x1a,0x5,0x2,0x0,0x0,0x44,0x46,0x44,1,-1,1,0x0,11,15,4,8,13,11,12,5,30,45,20,40,50,40,25,20,0,2,0,0,1,-1,1,-2,0x0,0,21,51,0,0,0,0,0,0x2,0x2e,0x0,0x0,0x0,0xff,0x7f,0xb8,0xb8,0xb8,8,3,0x1c,0xe,0x19,0xffff,2899,0,0,0x0,0x0,0x0,0x0,0x0
Shura,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x26691,0x2b62f,0x2b63c,0x2b649,0x2b657,0xa574,0xaa38,0x1b,0x7,0x2,0x0,0x0,0x1d,0x1b,0x41,10,-1,1,0x0,17,16,5,17,17,13,11,16,30,25,10,20,35,30,15,35,0,-1,0,-1,3,-1,-2,2,0x0,0,0,0,0,96,0,51,0,0x70,0x9,0x57,0x0,0x0,0xff,0x7f,0xb9,0xb9,0xb9,12,21,0x4b,0x13,0x1a,0xffff,2902,0,0,0x0,0x0,0x0,0x0,0x0
Elise,0x1,0x0,0x0,0x0,0x8,0x40,0x0,0x0,0x2669e,0x2b667,0x2b674,0x2b681,0x2b68f,0xa5c4,0xaa60,0x1c,0x6,0x2,0x0,0x0,0x5c,0x5a,0x21,5,-1,1,0x0,4,8,8,-2,5,10,3,7,30,65,65,25,55,70,15,40,0,-1,3,-2,1,1,-3,1,0x0,0,0,0,0,0,0,21,0,0x8,0x0,0x0,0x0,0x0,0xff,0x7f,0xba,0xba,0xba,3,19,0x46,0x0,0x1b,0xffff,2905,0,0,0x0,0x0,0x0,0x0,0x0
Arthur,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x266ab,0x2b69f,0x2b6ac,0x2b6b9,0x2b6c7,0xa5ec,0xaa88,0x1d,0x6,0x2,0x0,0x0,0x13,0x15,0x11,7,-1,1,0x0,5,5,0,3,2,-1,5,3,50,45,0,55,35,5,45,20,0,1,0,3,0,-3,1,-1,0x0,0,0,21,0,0,0,0,0,0x1,0x0,0x0,0x0,0x0,0xff,0x7f,0xbb,0xbb,0xbb,1,24,0x9,0x0,0x1c,0xffff,2941,0,1,0x0,0x0,0x0,0x0,0x0
Effie,0x1,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x266b8,0x2b6d7,0x2b6e4,0x2b6f1,0x2b6ff,0xa5d8,0xaab0,0x1e,0x6,0x2,0x0,0x0,0xe,0x10,0x23,6,-1,1,0x0,4,5,0,3,2,7,4,3,35,60,0,35,50,50,35,30,0,3,0,-1,1,0,-1,-1,0x0,0,21,0,0,0,0,0,0,0x7,0x0,0x0,0x0,0x0,0xff,0x7f,0xbc,0xbc,0xbc,4,13,0x5c,0x0,0x1d,0xffff,2950,0,0,0x0,0x0,0x0,0x0,0x0
Odin,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x266c5,0x2b70f,0x2b71e,0x2b72d,0x2b73d,0xa588,0xaad8,0x1f,0x6,0x2,0x0,0x0,0x55,0x53,0x12,5,-1,1,0x0,5,5,2,7,4,8,3,2,55,35,30,55,35,60,40,20,0,0,1,1,-1,1,0,-1,0x0,0,0,0,0,0,21,0,0,0x59,0x0,0x0,0x0,0x0,0xff,0x7f,0xbd,0xbd,0xbd,7,15,0x21,0x0,0x1e,0xffff,2992,0,0,0x0,0x0,0x0,0x0,0x0
Niles,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x266d4,0x2b74f,0x2b758,0x2b761,0x2b76b,0xa600,0xab00,0x20,0x6,0x2,0x0,0x0,0x1b,0x1d,0x14,8,-1,1,0x0,6,6,4,5,7,5,5,8,40,35,20,40,50,30,30,40,0,-2,0,-1,3,0,0,1,0x0,0,0,0,0,21,0,0,0,0x70,0x0,0x0,0x0,0x0,0xff,0x7f,0xbe,0xbe,0xbe,4,22,0x55,0x0,0x1f,0xffff,3001,0,0,0x0,0x0,0x0,0x0,0x0
Nyx,0x1,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x266dd,0x2b777,0x2b784,0x2b791,0x2b79f,0xa614,0xab28,0x21,0x6,0x2,0x0,0x0,0x56,0x54,0x27,9,-1,1,0x0,4,6,6,2,8,2,1,3,30,50,50,35,50,20,15,30,0,0,3,-2,2,-1,-2,1,0x0,0,0,0,0,0,51,0,0,0x59,0x0,0x0,0x0,0x0,0xff,0x7f,0xbf,0xbf,0xbf,2,17,0x1c,0x0,0x20,0xffff,3010,0,0,0x0,0x0,0x0,0x0,0x0
Camilla,0x1,0x0,0x0,0x0,0x8,0x40,0x0,0x0,0x266ea,0x2b7af,0x2b7ba,0x2b7c5,0x2b7d1,0xa54c,0xab50,0x22,0x6,0x2,0x0,0x0,0x48,0x46,0x20,1,15,1,0x0,12,12,5,9,14,12,10,9,40,50,25,50,55,25,35,45,0,1,-1,1,1,-2,1,0,0x0,0,0,51,0,0,21,0,0,0x2,0x2e,0x0,0x0,0x0,0xff,0x7f,0xc0,0xc0,0xc0,11,30,0x56,0x0,0x21,0xffff,3052,0,1,0x0,0x0,0x0,0x0,0x0
Selena,0x1,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x266f5,0x2b7df,0x2b7ea,0x2b7f5,0x2b801,0xa54c,0xab78,0x23,0x6,0x2,0x0,0x0,0x18,0x1a,0x26,10,-1,1,0x0,7,7,3,5,9,7,6,6,40,30,5,25,45,30,45,30,0,-1,0,-1,2,0,1,0,0x0,21,0,0,0,0,0,0,0,0x5b,0x32,0x0,0x0,0x0,0xff,0x7f,0xc1,0xc1,0xc1,1,21,0x3c,0x0,0x22,0xffff,3088,0,0,0x0,0x0,0x0,0x0,0x0
Beruka,0x1,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x26700,0x2b80f,0x2b81a,0x2b825,0x2b831,0xa560,0xaba0,0x24,0x6,0x2,0x0,0x0,0x46,0x44,0x25,9,-1,1,0x0,6,7,0,9,5,8,7,7,45,30,10,55,30,45,40,25,0,-1,0,2,-2,0,2,-1,0x0,0,0,21,0,0,0,0,0,0x2,0x0,0x0,0x0,0x0,0xff,0x7f,0xc2,0xc2,0xc2,2,26,0x14,0x0,0x23,0xffff,3130,0,0,0x0,0x0,0x0,0x0,0x0
Laslow,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x2670b,0x2b83f,0x2b84e,0x2b85d,0x2b86d,0xa5c4,0xabc8,0x25,0x6,0x2,0x0,0x0,0x17,0x15,0x13,12,-1,1,0x0,11,10,0,9,7,12,5,5,50,45,0,45,30,55,35,25,0,1,0,2,-1,1,-1,-1,0x0,51,0,0,0,0,0,0,0,0x5b,0x32,0x0,0x0,0x0,0xff,0x7f,0xc3,0xc3,0xc3,8,7,0x4b,0x0,0x24,0xffff,3172,0,0,0x0,0x0,0x0,0x0,0x0
Peri,0x1,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x2671a,0x2b87f,0x2b88a,0x2b895,0x2b8a1,0xa54c,0xabf0,0x26,0x6,0x2,0x0,0x0,0xa,0xc,0x24,10,-1,1,0x0,8,7,0,4,8,6,5,7,30,50,5,30,50,35,25,45,0,1,0,-1,1,0,-2,2,0x0,21,51,0,0,0,0,0,0,0x33,0x2c,0x0,0x0,0x0,0xff,0x7f,0xc4,0xc4,0xc4,12,24,0x56,0x0,0x25,0xffff,3181,0,1,0x0,0x0,0x0,0x0,0x0
Benny,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x26725,0x2b8af,0x2b8ba,0x2b8c5,0x2b8d1,0xa54c,0xac18,0x27,0x6,0x2,0x0,0x0,0xd,0xf,0xf,15,-1,1,0x0,12,7,0,10,3,9,11,9,50,40,0,50,10,35,55,45,0,0,0,0,-3,0,3,1,0x0,0,51,0,0,0,0,0,0,0x7,0x34,0x0,0x0,0x0,0xff,0x7f,0xc5,0xc5,0xc5,3,24,0x13,0x0,0x26,0xffff,3223,0,1,0x0,0x0,0x0,0x0,0x0
Charlotte,0x1,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x26730,0x2b8df,0x2b8f0,0x2b901,0x2b913,0xa560,0xac40,0x28,0x6,0x2,0x0,0x0,0x14,0x12,0x22,10,-1,1,0x0,9,8,0,4,7,7,4,1,65,55,0,35,50,45,20,5,0,3,0,0,2,0,-2,-2,0x0,0,0,51,0,0,0,0,0,0x1,0x55,0x0,0x0,0x0,0xff,0x7f,0xc6,0xc6,0xc6,5,4,0x5c,0x0,0x27,0xffff,3232,0,1,0x0,0x0,0x0,0x0,0x0
Leo,0x0,0x0,0x0,0x0,0x9,0x40,0x0,0x0,0x26741,0x2b927,0x2b932,0x2b93d,0x2b949,0xa5d8,0xac68,0x29,0x6,0x2,0x0,0x0,0x57,0x55,0xe,2,18,1,0x0,15,14,14,8,10,12,8,14,45,55,55,35,45,45,30,45,0,-2,2,0,-2,0,0,2,0x0,21,0,0,0,0,51,0,0,0x59,0x4c,0x0,0x0,0x0,0xff,0x7f,0xc7,0xc7,0xc7,6,30,0x5b,0x0,0x28,0xffff,3274,0,0,0x0,0x0,0x0,0x0,0x0
Keaton,0x0,0x0,0x0,0x1,0x0,0x40,0x0,0x0,0x2674c,0x2b957,0x2b966,0x2b975,0x2b985,0xa5c4,0xac90,0x2a,0x6,0x2,0x0,0x0,0x5f,0x61,0x10,15,-1,1,0x0,16,11,0,6,7,9,12,7,60,60,0,20,35,30,50,25,0,3,0,-2,-1,0,2,-1,0x0,0,0,0,0,0,0,0,51,0x36,0x28,0x0,0x0,0x0,0xff,0x7f,0xc8,0xc8,0xc8,10,30,0x13,0x0,0x29,0xffff,3283,0,0,0x0,0x0,0x0,0x0,0x0
